stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
8123074,4266,"Willow/Willow Ridge","",36.041085,-79.761972,,,0,,,0,,
8123075,6025,"Willow/Bristol","",36.044282,-79.761823,,,0,,,0,,
8123076,6026,"Willow/Bothwell","",36.048964,-79.761748,,,0,,,0,,
8123077,6028,"Willow/Randall","",36.051726,-79.761995,,,0,,,0,,
8123078,6027,"E Florida/Willow","",36.0538,-79.761623,,,0,,,0,,
8123079,6029,"E Florida/Alice","",36.054,-79.756974,,,0,,,0,,
8123080,4274,"E Florida/Ardmore","",36.05494,-79.754572,,,0,,,0,,
8123081,5074,"E Florida/Blueberry","",36.055383,-79.752098,,,0,,,0,,
8124018,6035,"E Bessemer/Huffine Mill","",36.08474758095425,-79.74181899999999,,,0,,,0,,
8124981,6036,"E Market/Dockery (IB)","",36.083096,-79.744141,,,0,,,0,,
8124982,6037,"Lowdermilk/Phillips Park","",36.080595,-79.745812,,,0,,,0,,
8124983,4332,"Lowdermilk/Dakota","",36.074506,-79.745988,,,0,,,0,,
8124984,4333,"Lowdermilk/Holts Chapel","",36.072796,-79.746003,,,0,,,0,,
8124985,4334,"Holts Chapel/Pine (IB)","",36.073639,-79.748499,,,0,,,0,,
8124986,4335,"Banner/Holts Chapel (IB)","",36.074171,-79.751189,,,0,,,0,,
8124987,4336,"Apache/Banner","",36.070185,-79.752267,,,0,,,0,,
8124988,4337,"Apache/Avalon","",36.070338,-79.75614,,,0,,,0,,
8124989,4338,"Apache/S English","",36.070408,-79.757576,,,0,,,0,,
8124990,4339,"S English/Bingham Park","",36.069268,-79.757589,,,0,,,0,,
8124991,4340,"S English/Spencer","",36.067956,-79.757297,,,0,,,0,,
8124992,4341,"S English/Everitt","",36.06557,-79.757448,,,0,,,0,,
8124993,4342,"S English/McConnell","",36.063467,-79.757533,,,0,,,0,,
8124994,4343,"McConnell/Mt Zion Church (IB) (IB)","",36.063917,-79.759574,,,0,,,0,,
8130071,4344,"McConnell/Willow (IB)","",36.064388,-79.761326,,,0,,,0,,
8130072,4346,"McConnell/Willow Hope","",36.064928,-79.764008,,,0,,,0,,
8130073,4347,"McConnell/Gillespie","",36.065828,-79.765502,,,0,,,0,,
8130074,4348,"McConnell/Booker (IB)","",36.067337,-79.76794,,,0,,,0,,
8130075,4349,"Dewitt/Sloan","",36.067099,-79.769583,,,0,,,0,,
8130076,4350,"Gorrell/S Benbow (IB)","",36.066242,-79.771282,,,0,,,0,,
8130077,4351,"Gorrell/Logan (IB)","",36.066391,-79.772145,,,0,,,0,,
8130078,4353,"Gorrell/Hargett (IB)","",36.066493,-79.774706,,,0,,,0,,
8130079,4354,"Gorrell/Bennett College (IB)","",36.066635,-79.77912,,,0,,,0,,
8130080,4355,"Gorrell/Watson (IB)","",36.06667,-79.781247,,,0,,,0,,
8130081,6093,"Gorrell/MLK","",36.066776,-79.787728,,,0,,,0,,
8130298,4299,"Gorrell/Plott","",36.066621,-79.783517,,,0,,,0,,
8130299,4300,"Gorrell/Martin","",36.066606,-79.782633,,,0,,,0,,
8130300,4301,"Gorrell/Watson (OB)","",36.066586,-79.781467,,,0,,,0,,
8130301,4302,"Gorrell/Bennett College (OB)","",36.066538,-79.779134,,,0,,,0,,
8130302,4303,"Gorrell/Bennett","",36.06651,-79.777618,,,0,,,0,,
8130303,4304,"Gorrell/Hargett (OB)","",36.066392,-79.774658,,,0,,,0,,
8130304,4305,"Gorrell/Law","",36.066357,-79.773711,,,0,,,0,,
8130305,4306,"Gorrell/Logan (OB)","",36.066304,-79.772369,,,0,,,0,,
8130306,4307,"Gorrell/S Benbow (OB)","",36.066103,-79.771116,,,0,,,0,,
8130307,4308,"McConnell/E Washington","",36.06861,-79.770201,,,0,,,0,,
8130308,4309,"McConnell/Dewitt","",36.068185,-79.769506,,,0,,,0,,
8130309,4310,"McConnell/Booker (OB)","",36.067136,-79.767816,,,0,,,0,,
8130310,4311,"McConnell/Lincoln","",36.065684,-79.765479,,,0,,,0,,
8130311,4312,"McConnell/Pichard","",36.064635,-79.763786,,,0,,,0,,
8130312,4313,"McConnell/Dunbar","",36.064344,-79.762717,,,0,,,0,,
8130313,4314,"McConnell Willow (OB)","",36.064288,-79.761689,,,0,,,0,,
8130314,4315,"McConnell/Mt Zion Church (OB)","",36.063913,-79.76,,,0,,,0,,
8130315,4316,"McConnell/S English","",36.063227,-79.757691,,,0,,,0,,
8130316,4317,"McConnell/Ardmore","",36.063079,-79.755393,,,0,,,0,,
8130317,4318,"McConnell/Moody","",36.063013,-79.754225,,,0,,,0,,
8130318,4319,"McConnell/Banner","",36.062911,-79.752405,,,0,,,0,,
8130320,4320,"Banner/McConnell","",36.063552,-79.75165,,,0,,,0,,
8130321,4321,"Banner/Everitt","",36.065036,-79.751576,,,0,,,0,,
8130322,4322,"Banner/WRE Colortech","",36.066758,-79.751469,,,0,,,0,,
8130323,4324,"Banner/Apache","",36.070209,-79.751252,,,0,,,0,,
