trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
3508,5906,1,Four Seasons - Outbound to Four Seasons,"",0,403576,21520,
3511,6349,1,EASTBOUND TO GTCC-GREENSBORO CAMPUS,"",0,403573,23842,
3512,5925,1,To Downtown Depot,"",1,403597,21550,
3513,5906,2,To Downtown Depot,"",1,403615,21517,
3514,6349,1,EASTBOUND TO GTCC-GREENSBORO CAMPUS,"",0,403571,23841,
3515,5925,1,To Downtown Depot,"",1,403598,21550,
3516,5934,2,Lawndale Dr. - Outbound to Cottage Pl,"",0,403629,21560,
3517,5913,2,To Downtown Depot,"",1,403617,21521,
3518,5922,2,To Downtown Depot,"",1,403623,21543,
3519,6349,2,WESTBOUND TO KOGER BLVD.,"",1,403607,23844,
3520,5925,1,S. Elm-Eugene St. - Outbound to Elmsley Dr.,"",0,403597,21548,
3521,5925,1,To Downtown Depot,"",1,403595,21550,
3522,5935,1,To Downtown Depot,"",1,403599,21553,
3523,5936,1,Yanceyville St./Brightwood Sch Rd. - Outbound to Brightwood Sch Rd.,"",0,403601,21556,
3524,5913,1,MLK Jr. Dr./Benbow/Willow Rd. - Outbound to Florida St/Gate City Blvd.,"",0,403581,21525,
3525,5919,2,8 Inbound to Depot,"",1,403621,24493,
3526,6349,2,WESTBOUND TO KOGER BLVD.,"",1,403606,23844,
3527,6349,1,EASTBOUND TO GTCC-GREENSBORO CAMPUS,"",0,403566,23841,
3528,6349,1,WESTBOUND TO SAPP ROAD,"",1,403574,23843,
3529,5913,2,MLK Jr. Dr./Benbow/Willow Rd. - Outbound to Florida St/Gate City Blvd.,"",0,403617,21525,
3531,6084,4,Hopper Trolley,"",0,403634,24960,
3532,5920,2,Guilford college,"",0,403622,21541,
3533,5924,2,To Downtown Depot,"",1,403626,21547,
3535,5925,1,To Downtown Depot,"",1,403597,21550,
3537,5935,1,To Downtown Depot,"",1,403599,21553,
3538,5914,1,Gorrell St. - Outbound to Franklin Blvd,"",0,403585,21523,
3539,5924,2,Randleman Rd. - Outbound to Elmsley Dr.,"",0,403625,21549,
3540,5906,1,To Downtown Depot,"",1,403575,21519,
3541,5936,2,To Downtown Depot,"",1,403628,21555,
3542,5919,1,Battleground Ave,"",0,403586,21537,
3543,5922,2,Gate City Blvd. - Outbound to Groometown Rd./GTCC Jamestown,"",0,403623,21546,
3545,6349,2,WESTBOUND TO SAPP ROAD,"",1,403613,23843,
3546,5913,1,MLK Jr. Dr./Benbow/Willow Rd. - Outbound to Florida St/Gate City Blvd.,"",0,403581,21525,
3547,6349,2,WESTBOUND TO SAPP ROAD,"",1,403611,23843,
