stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
10043,,S Center St and 4th Ave SE,,35.726986,-81.338193,,,,,,
10044,,S Center St and 3rd Ave SE,,35.72814,-81.33811,,,,,,
10045,,S Center St and 2nd Ave SE,,35.72957,-81.338035,,,,,,
20001,,2nd Ave SE at Safe Harbor,,35.729766,-81.337006,,,,,,
20002,,Catawba Science Center,,35.736035,-81.335456,,,,,,
20003,,Patrick Beaver Library,,35.738126,-81.33551,,,,,,
20004,,2nd St NE and 5th Av Ct NE,,35.739297,-81.335489,,,,,,
20005,,2nd St NE and 8th Av NE,,35.742639,-81.335242,,,,,,
20006,,2nd St NE and 9th Av NE,,35.744566,-81.335103,,,,,,
20007,,2nd St NE and 11th Av NE,,35.747611,-81.33484,,,,,,
20008,,2nd St NE and 13th Av NE,,35.750066,-81.335269,,,,,,
20009,,2nd St NE and CVS Pharmacy,,35.75292,-81.336499,,,,,,
20010,,N Center St and 17th Av NE,,35.754494,-81.336441,,,,,,
20011,,N Center St and 18th Av NE,,35.756265,-81.335782,,,,,,
20012,,N Center St and 19th Av NE,,35.758001,-81.335134,,,,,,
20013,,N Center St and 22nd Av NE,,35.761079,-81.33334,,,,,,
20014,,N Center St and 25th Av NE,,35.764691,-81.332642,,,,,,
20015,,26th Av NE and NC 127,,35.76558,-81.331757,,,,,,
20016,,26th Av NE and the Villa at Northview,,35.76499,-81.326305,,,,,,
20017,,5th St NE and Huntington Church of God,,35.757423,-81.322458,,,,,,
20018,,21st Av NE and 6th St NE,,35.756728,-81.320761,,,,,,
20019,,21st Av NE and Colony Square,,35.757209,-81.318344,,,,,,
20020,,21st Av NE and 12th St NE,,35.757435,-81.315346,,,,,,
20021,,21st Av NE and 8th St Dr NE,,35.759343,-81.307488,,,,,,
20022,,16th St NE and 19th Av NE,,35.755213,-81.305026,,,,,,
20023,,16th St NE and 18th Av NE,,35.753294,-81.304656,,,,,,
20024,,16th St NE and 14th Av NE,,35.746644,-81.302708,,,,,,
20025,,18th St NE and Sandy Ridge Plaza,,35.743857,-81.30332,,,,,,
20026,,12th Av NE and Oriental Express,,35.742656,-81.302306,,,,,,
20027,,12th Av NE and 20th St NE,,35.742976,-81.299605,,,,,,
20028,,20th St NE and Cat Valley Baptist Assoc,,35.740725,-81.298462,,,,,,
20029,,20th St NE and Silver Springs Apts,,35.737135,-81.298727,,,,,,
20030,,9th Av NE and 20th St NE,,35.735833,-81.299397,,,,,,
20031,,9th Av NE and 18th St Dr NE,,35.737989,-81.301927,,,,,,
20032,,9th Av NE and 1721 9th Av NE,,35.73845,-81.303875,,,,,,
20033,,9th Av NE and Exxon Gas Station,,35.739293,-81.306501,,,,,,
20034,,9th Av NE and Hickory Public Works,,35.740407,-81.309115,,,,,,
20035,,9th Av NE and Hickory Fire Station,,35.740928,-81.312048,,,,,,
20036,,9th Av NE and 12th St NE,,35.740946,-81.314006,,,,,,
20037,,9th Av NE and 9th St Dr NE,,35.741303,-81.317901,,,,,,
20038,,9th Av Pl NE and 8th St NE (Bonnies Residence),,35.742492,-81.320193,,,,,,
