route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
6,mtwtfs,Rt6_Conover_HWY70_HKY_T04,,0,,Green6,1,1
7,mtwtfs,Rt7_TateBlvd_SpringsRd_HWY127_T01,,0,,Purple,1,1
7,mtwtfs,Rt7_TateBlvd_SpringsRd_HWY127_T02,,0,,Purple,1,1
7,mtwtfs,Rt7_TateBlvd_SpringsRd_HWY127_T03,,0,,Purple,1,1
7,mtwtfs,Rt7_TateBlvd_SpringsRd_HWY127_T04,,0,,Purple,1,1
Taylorsville,mtwtf,Taylorsville_Flex_Route_T01,,0,,Taylorsville_Flex,1,1
Taylorsville,mtwtf,Taylorsville_Flex_Route_T02,,0,,Taylorsville_Flex,1,1
Taylorsville,mtwtf,Taylorsville_Flex_Route_T03,,0,,Taylorsville_Flex,1,1
Taylorsville,mtwtf,Taylorsville_Flex_Route_T04,,0,,Taylorsville_Flex,1,1
Taylorsville,mtwtf,Taylorsville_Flex_Route_T05,,0,,Taylorsville_Flex,1,1
Taylorsville,mtwtf,Taylorsville_Flex_Route_T06,,0,,Taylorsville_Flex,1,1
Taylorsville,mtwtf,Taylorsville_Flex_Route_T07,,0,,Taylorsville_Flex,1,1
Taylorsville,mtwtf,Taylorsville_Flex_Route_T08,,0,,Taylorsville_Flex,1,1
Taylorsville,mtwtf,Taylorsville_Flex_Route_T09,,0,,Taylorsville_Flex,1,1
Taylorsville,mtwtf,Taylorsville_Flex_Route_T10,,0,,Taylorsville_Flex,1,1
Taylorsville,mtwtf,Taylorsville_Flex_Route_T11,,0,,Taylorsville_Flex,1,1
Taylorsville,mtwtf,Taylorsville_Flex_Route_T12,,0,,Taylorsville_Flex,1,1
Taylorsville,mtwtf,Taylorsville_Flex_Route_T13,,0,,Taylorsville_Flex,1,1
Taylorsville,mtwtf,Taylorsville_Flex_Route_T14,,0,,Taylorsville_Flex,1,1
Morganton,mtwtf,Morganton_Loop_T01,,0,,Morganton_Loop,1,1
Morganton,mtwtf,Morganton_Loop_T02,,0,,Morganton_Loop,1,1
Morganton,mtwtf,Morganton_Loop_T03,,0,,Morganton_Loop,1,1
Morganton,mtwtf,Morganton_Loop_T04,,0,,Morganton_Loop,1,1
Morganton,mtwtf,Morganton_Loop_T05,,0,,Morganton_Loop,1,1
Morganton,mtwtf,Morganton_Loop_T06,,0,,Morganton_Loop,1,1
Morganton,mtwtf,Morganton_Loop_T07,,0,,Morganton_Loop,1,1
Morganton,mtwtf,Morganton_Loop_T08,,0,,Morganton_Loop,1,1
Morganton,mtwtf,Morganton_Loop_T09,,0,,Morganton_Loop,1,1
Morganton,mtwtf,Morganton_Loop_T10,,0,,Morganton_Loop,1,1
Morganton,mtwtf,Morganton_Loop_T11,,0,,Morganton_Loop,1,1
Morganton,mtwtf,Morganton_Loop_T12,,0,,Morganton_Loop,1,1
Morganton,mtwtf,Morganton_Loop_T13,,0,,Morganton_Loop,1,1
