trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
1_WS_westbound_T17,17:34:46,17:34:46,7974464,4,Innovation Quarter (5th & Patterson),,,,,28.981,0
1_WS_westbound_T17,17:35:00,17:35:00,7974465,5,5th & Chestnut (Drop-Off Only),,,,,29.318,1
1_WS_westbound_T17,17:37:26,17:37:26,7974466,6,Winston-Salem Transportation Center (L1),1,,,,29.425,0
1_WS_westbound_T17,17:45:00,17:45:00,7970131,7,,,,,,29.758,1
1_WS_westbound_T18,17:45:00,17:45:00,7980844,1,WS Journal (5th Street),,,,,0,1
1_WS_westbound_T18,18:03:21,18:03:21,7974462,2,5th & MLK Jr Dr.,,,,,26.888,0
1_WS_westbound_T18,18:04:11,18:04:11,7974463,3,5th & Research,,,,,28.122,0
1_WS_westbound_T18,18:04:46,18:04:46,7974464,4,Innovation Quarter (5th & Patterson),,,,,28.981,0
1_WS_westbound_T18,18:05:00,18:05:00,7974465,5,5th & Chestnut (Drop-Off Only),,,,,29.318,1
1_WS_westbound_T18,18:07:26,18:07:26,7974466,6,Winston-Salem Transportation Center (L1),1,,,,29.425,0
1_WS_westbound_T18,18:15:00,18:15:00,7970131,7,,,,,,29.758,1
1_WS_westbound_T19,18:15:00,18:15:00,7980844,1,WS Journal (5th Street),,,,,0,1
1_WS_westbound_T19,18:33:21,18:33:21,7974462,2,5th & MLK Jr Dr.,,,,,26.888,0
1_WS_westbound_T19,18:34:11,18:34:11,7974463,3,5th & Research,,,,,28.122,0
1_WS_westbound_T19,18:34:46,18:34:46,7974464,4,Innovation Quarter (5th & Patterson),,,,,28.981,0
1_WS_westbound_T19,18:35:00,18:35:00,7974465,5,5th & Chestnut (Drop-Off Only),,,,,29.318,1
1_WS_westbound_T19,18:37:26,18:37:26,7974466,6,Winston-Salem Transportation Center (L1),1,,,,29.425,0
1_WS_westbound_T19,18:45:00,18:45:00,7970131,7,,,,,,29.758,1
1_WS_westbound_T20,18:45:00,18:45:00,7980844,1,WS Journal (5th Street),,,,,0,1
