route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
2,MF,2_GB_eastbound_T12,Greensboro Depot,1,203,2CTCtoGB,1,1
2,MF,2_GB_eastbound_T13,Greensboro Depot,1,203,2CTCtoGB,1,1
2,MF,2_GB_eastbound_T14,Greensboro Depot,1,203,2CTCtoGB,1,1
2,MF,2_GB_eastbound_T15,Greensboro Depot,1,204,2CTCtoGB,1,1
2,MF,2_GB_eastbound_T16,Greensboro Depot,1,203,2CTCtoGB,1,1
2,MF,2_GB_eastbound_T17,Greensboro Depot,1,204,2CTCtoGB,1,1
2,MF,2_GB_eastbound_T18,Greensboro Depot,1,203,2CTCtoGB,1,1
2,MF,2_GB_eastbound_T19,Greensboro Depot,1,204,2CTCtoGB,1,1
2,MF,2_GB_eastbound_T20,Greensboro Depot,1,203,2CTCtoGB,1,1
2,MF,2_GB_eastbound_T21,Greensboro Depot,1,204,2CTCtoGB,1,1
2,MF,2_GB_eastbound_T22,Greensboro Depot,1,203,2CTCtoGB,1,1
2,MF,2_Last_GB_eastbound_T01,Greensboro Depot,1,203,2CTCtoGB,1,1
2,Sa,2_GB_westbound_Sat_T01,Coble Transportation Center,0,206,2GBtoCTC,1,1
2,Sa,2_GB_westbound_Sat_T02,Coble Transportation Center,0,206,2GBtoCTC,1,1
2,Sa,2_GB_westbound_Sat_T03,Coble Transportation Center,0,206,2GBtoCTC,1,1
2,Sa,2_GB_westbound_Sat_T04,Coble Transportation Center,0,206,2GBtoCTC,1,1
2,Sa,2_GB_westbound_Sat_T05,Coble Transportation Center,0,206,2GBtoCTC,1,1
2,Sa,2_GB_westbound_Sat_T06,Coble Transportation Center,0,206,2GBtoCTC,1,1
2,Sa,2_GB_westbound_Sat_T07,Coble Transportation Center,0,206,2GBtoCTC,1,1
2,Sa,2_GB_westbound_Sat_T08,Coble Transportation Center,0,207,2GBtoCTC,1,1
2,Sa,2_GB_westbound_Sat_T09,Coble Transportation Center,0,207,2GBtoCTC,1,1
2,Sa,2_GB_westbound_Sat_T10,Coble Transportation Center,0,207,2GBtoCTC,1,1
2,Sa,2_GB_westbound_Sat_T11,Coble Transportation Center,0,207,2GBtoCTC,1,1
2,Sa,2_GB_westbound_Sat_T12,Coble Transportation Center,0,207,2GBtoCTC,1,1
2,Sa,2_GB_westbound_Sat_T13,Coble Transportation Center,0,207,2GBtoCTC,1,1
2,Sa,2_GB_westbound_Sat_T14,Coble Transportation Center,0,207,2GBtoCTC,1,1
2,Sa,2_GB_westbound_Sat_T15,Coble Transportation Center,0,207,2GBtoCTC,1,1
2,Sa,2_GB_eastbound_Sat_T01,Greensboro Depot,1,206,2CTCtoGB,1,1
2,Sa,2_GB_eastbound_Sat_T02,Greensboro Depot,1,206,2CTCtoGB,1,1
2,Sa,2_GB_eastbound_Sat_T03,Greensboro Depot,1,206,2CTCtoGB,1,1
2,Sa,2_GB_eastbound_Sat_T04,Greensboro Depot,1,206,2CTCtoGB,1,1
2,Sa,2_GB_eastbound_Sat_T05,Greensboro Depot,1,206,2CTCtoGB,1,1
2,Sa,2_GB_eastbound_Sat_T06,Greensboro Depot,1,206,2CTCtoGB,1,1
2,Sa,2_GB_eastbound_Sat_T07,Greensboro Depot,1,207,2CTCtoGB,1,1
2,Sa,2_GB_eastbound_Sat_T08,Greensboro Depot,1,207,2CTCtoGB,1,1
2,Sa,2_GB_eastbound_Sat_T09,Greensboro Depot,1,207,2CTCtoGB,1,1
2,Sa,2_GB_eastbound_Sat_T10,Greensboro Depot,1,207,2CTCtoGB,1,1
2,Sa,2_GB_eastbound_Sat_T11,Greensboro Depot,1,207,2CTCtoGB,1,1
2,Sa,2_GB_eastbound_Sat_T12,Greensboro Depot,1,207,2CTCtoGB,1,1
2,Sa,2_GB_eastbound_Sat_T13,Greensboro Depot,1,207,2CTCtoGB,1,1
2,Sa,2_GB_eastbound_Sat_T14,Greensboro Depot,1,207,2CTCtoGB,1,1
2,Sa,2_Last_GB_eastbound_Sat_T01,Greensboro Depot,1,207,2CTCtoGB,1,1
3,MF,3_HP_northbound_T01,Coble Transportation Center,0,301,3HPtoCTC,1,1
3,MF,3_HP_northbound_T02,Coble Transportation Center,0,302,3HPtoCTC,1,1
3,MF,3_HP_northbound_T03,Coble Transportation Center,0,301,3HPtoCTC,1,1
3,MF,3_HP_northbound_T04,Coble Transportation Center,0,302,3HPtoCTC,1,1
3,MF,3_HP_northbound_T05,Coble Transportation Center,0,301,3HPtoCTC,1,1
3,MF,3_HP_northbound_T06,Coble Transportation Center,0,302,3HPtoCTC,1,1
3,MF,3_HP_northbound_T07,Coble Transportation Center,0,301,3HPtoCTC,1,1
3,MF,3_HP_northbound_T08,Coble Transportation Center,0,302,3HPtoCTC,1,1
3,MF,3_HP_northbound_T09,Coble Transportation Center,0,302,3HPtoCTC,1,1
3,MF,3_HP_northbound_T10,Coble Transportation Center,0,302,3HPtoCTC,1,1
3,MF,3_HP_northbound_T11,Coble Transportation Center,0,302,3HPtoCTC,1,1
3,MF,3_HP_northbound_T12,Coble Transportation Center,0,302,3HPtoCTC,1,1
3,MF,3_HP_northbound_T13,Coble Transportation Center,0,303,3HPtoCTC,1,1
3,MF,3_HP_northbound_T14,Coble Transportation Center,0,303,3HPtoCTC,1,1
3,MF,3_HP_northbound_T15,Coble Transportation Center,0,304,3HPtoCTC,1,1
3,MF,3_HP_northbound_T16,Coble Transportation Center,0,303,3HPtoCTC,1,1
3,MF,3_HP_northbound_T17,Coble Transportation Center,0,304,3HPtoCTC,1,1
3,MF,3_HP_northbound_T18,Coble Transportation Center,0,303,3HPtoCTC,1,1
3,MF,3_HP_northbound_T19,Coble Transportation Center,0,304,3HPtoCTC,1,1
3,MF,3_HP_northbound_T20,Coble Transportation Center,0,303,3HPtoCTC,1,1
3,MF,3_HP_northbound_T21,Coble Transportation Center,0,304,3HPtoCTC,1,1
3,MF,3_HP_northbound_T22,Coble Transportation Center,0,303,3HPtoCTC,1,1
3,MF,3_HP_northbound_T23,Coble Transportation Center,0,303,3HPtoCTC,1,1
3,MF,3_HP_southbound_T01,High Point Broad Ave Terminal,1,301,3CTCtoHP,1,1
3,MF,3_HP_southbound_T02,High Point Broad Ave Terminal,1,302,3CTCtoHP,1,1
3,MF,3_HP_southbound_T03,High Point Broad Ave Terminal,1,301,3CTCtoHP,1,1
3,MF,3_HP_southbound_T04,High Point Broad Ave Terminal,1,302,3CTCtoHP,1,1
3,MF,3_HP_southbound_T05,High Point Broad Ave Terminal,1,301,3CTCtoHP,1,1
3,MF,3_HP_southbound_T06,High Point Broad Ave Terminal,1,302,3CTCtoHP,1,1
3,MF,3_HP_southbound_T07,High Point Broad Ave Terminal,1,301,3CTCtoHP,1,1
3,MF,3_HP_southbound_T08,High Point Broad Ave Terminal,1,302,3CTCtoHP,1,1
3,MF,3_HP_southbound_T09,High Point Broad Ave Terminal,1,302,3CTCtoHP,1,1
3,MF,3_HP_southbound_T10,High Point Broad Ave Terminal,1,302,3CTCtoHP,1,1
3,MF,3_HP_southbound_T11,High Point Broad Ave Terminal,1,302,3CTCtoHP,1,1
3,MF,3_HP_southbound_T12,High Point Broad Ave Terminal,1,303,3CTCtoHP,1,1
3,MF,3_HP_southbound_T13,High Point Broad Ave Terminal,1,303,3CTCtoHP,1,1
3,MF,3_HP_southbound_T14,High Point Broad Ave Terminal,1,303,3CTCtoHP,1,1
3,MF,3_HP_southbound_T15,High Point Broad Ave Terminal,1,304,3CTCtoHP,1,1
3,MF,3_HP_southbound_T16,High Point Broad Ave Terminal,1,303,3CTCtoHP,1,1
3,MF,3_HP_southbound_T17,High Point Broad Ave Terminal,1,304,3CTCtoHP,1,1
3,MF,3_HP_southbound_T18,High Point Broad Ave Terminal,1,303,3CTCtoHP,1,1
3,MF,3_HP_southbound_T19,High Point Broad Ave Terminal,1,304,3CTCtoHP,1,1
3,MF,3_HP_southbound_T20,High Point Broad Ave Terminal,1,303,3CTCtoHP,1,1
3,MF,3_HP_southbound_T21,High Point Broad Ave Terminal,1,304,3CTCtoHP,1,1
3,MF,3_HP_southbound_T22,High Point Broad Ave Terminal,1,303,3CTCtoHP,1,1
3,MF,3_Last_HP_southbound_T01,High Point Broad Ave Terminal,1,303,3CTCtoHP,1,1
3,Sa,3_HP_northbound_Sat_T01,Coble Transportation Center,0,306,3HPtoCTC,1,1
3,Sa,3_HP_northbound_Sat_T02,Coble Transportation Center,0,306,3HPtoCTC,1,1
3,Sa,3_HP_northbound_Sat_T03,Coble Transportation Center,0,306,3HPtoCTC,1,1
3,Sa,3_HP_northbound_Sat_T04,Coble Transportation Center,0,306,3HPtoCTC,1,1
3,Sa,3_HP_northbound_Sat_T05,Coble Transportation Center,0,306,3HPtoCTC,1,1
3,Sa,3_HP_northbound_Sat_T06,Coble Transportation Center,0,306,3HPtoCTC,1,1
3,Sa,3_HP_northbound_Sat_T07,Coble Transportation Center,0,306,3HPtoCTC,1,1
3,Sa,3_HP_northbound_Sat_T08,Coble Transportation Center,0,307,3HPtoCTC,1,1
3,Sa,3_HP_northbound_Sat_T09,Coble Transportation Center,0,307,3HPtoCTC,1,1
3,Sa,3_HP_northbound_Sat_T10,Coble Transportation Center,0,307,3HPtoCTC,1,1
3,Sa,3_HP_northbound_Sat_T11,Coble Transportation Center,0,307,3HPtoCTC,1,1
3,Sa,3_HP_northbound_Sat_T12,Coble Transportation Center,0,307,3HPtoCTC,1,1
3,Sa,3_HP_northbound_Sat_T13,Coble Transportation Center,0,307,3HPtoCTC,1,1
3,Sa,3_HP_northbound_Sat_T14,Coble Transportation Center,0,307,3HPtoCTC,1,1
3,Sa,3_HP_northbound_Sat_T15,Coble Transportation Center,0,307,3HPtoCTC,1,1
3,Sa,3_HP_southbound_Sat_T01,High Point Broad Ave Terminal,1,306,3CTCtoHP,1,1
3,Sa,3_HP_southbound_Sat_T02,High Point Broad Ave Terminal,1,306,3CTCtoHP,1,1
3,Sa,3_HP_southbound_Sat_T03,High Point Broad Ave Terminal,1,306,3CTCtoHP,1,1
3,Sa,3_HP_southbound_Sat_T04,High Point Broad Ave Terminal,1,306,3CTCtoHP,1,1
3,Sa,3_HP_southbound_Sat_T05,High Point Broad Ave Terminal,1,306,3CTCtoHP,1,1
3,Sa,3_HP_southbound_Sat_T06,High Point Broad Ave Terminal,1,306,3CTCtoHP,1,1
