trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
6685020,1,4,"DOWNTOWN",,1,0074,shp-1-01,0,0
8702050,1,1,"DOWNTOWN",,1,0030,shp-1-01,0,0
7223070,1,2,"DOWNTOWN",,1,0036,shp-1-01,0,0
3369070,1,2,"DOWNTOWN",,1,0007,shp-1-01,0,0
6675050,1,1,"DOWNTOWN",,1,0083,shp-1-01,0,0
8507050,1,1,"DOWNTOWN",,1,0074,shp-1-01,0,0
5415050,1,1,"DOWNTOWN",,1,0062,shp-1-01,0,0
6384010,1,3,"DOWNTOWN",,1,0033,shp-1-01,0,0
655020,1,4,"DOWNTOWN",,1,0010,shp-1-01,0,0
44010,1,3,"DOWNTOWN",,1,0033,shp-1-01,0,0
1126020,1,4,"DOWNTOWN",,1,0002,shp-1-01,0,0
1398020,1,4,"DOWNTOWN",,1,0010,shp-1-01,0,0
4700050,1,1,"DOWNTOWN",,1,0002,shp-1-01,0,0
6908050,1,1,"DOWNTOWN",,1,0007,shp-1-01,0,0
6759020,1,4,"DOWNTOWN",,1,0010,shp-1-01,0,0
2647070,1,2,"DOWNTOWN",,1,0007,shp-1-01,0,0
6472070,1,2,"DOWNTOWN",,1,0025,shp-1-01,0,0
9202070,1,2,"DOWNTOWN",,1,0036,shp-1-01,0,0
4998020,1,4,"DOWNTOWN",,1,0062,shp-1-01,0,0
7492010,1,3,"DOWNTOWN",,1,0014,shp-1-01,0,0
9046020,1,4,"DOWNTOWN",,1,0074,shp-1-01,0,0
6316050,1,1,"DOWNTOWN",,1,0074,shp-1-01,0,0
9142070,1,2,"DOWNTOWN",,1,0041,shp-1-01,0,0
6803050,1,1,"DOWNTOWN",,1,0030,shp-1-01,0,0
484020,1,4,"DOWNTOWN",,1,0083,shp-1-01,0,0
3169070,1,2,"DOWNTOWN",,1,0036,shp-1-01,0,0
8735050,1,1,"DOWNTOWN",,1,0002,shp-1-01,0,0
7746020,1,4,"DOWNTOWN",,1,0002,shp-1-01,0,0
2480070,1,2,"DOWNTOWN",,1,0041,shp-1-01,0,0
3105010,1,3,"DOWNTOWN",,1,0063,shp-1-01,0,0
