stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
368,8250,"Ridge Rd at Darien Dr",,35.814600,-78.682530,,,,,,0
369,8251,"Lake Boone Tr at Thomas Rd",,35.815693,-78.682754,,,,,,0
370,8252,"Lake Boone Tr at Horton St (OB)",,35.815808,-78.687886,,,,,,0
371,8253,"Lake Boone Tr at Wycliff Rd",,35.815760,-78.695230,,,,,,0
372,8254,"Rex Hospital (Outbound)",,35.816910,-78.704585,,,,,,0
373,8255,"Duraleigh Rd at Edwards Mill Rd (NB)",,35.823140,-78.706000,,,,,,0
374,8256,"Edwards Mill Rd at Ed Dr",,35.825298,-78.705450,,,,,,0
375,8257,"Bell Dr at Edison Rd (NB)",,35.765860,-78.583900,,,,,,0
376,8258,"Cooper Rd at Bell Dr (SB)",,35.766910,-78.586400,,,,,,0
377,8259,"Little John Rd at Cooper Rd",,35.763750,-78.587850,,,,,,0
378,8260,"Little John Rd at Beverly Dr",,35.762930,-78.596140,,,,,,0
379,8261,"Beverly Dr at Bromley St (NB)",,35.766030,-78.595040,,,,,,0
380,8262,"Beverly Dr at Friar Tuck Rd (NB)",,35.769190,-78.594410,,,,,,0
381,8263,"Lake Boone Tr at Myron Dr",,35.815609,-78.693548,,,,,,0
382,8264,"Western Blvd at Powell Dr",,35.786635,-78.712925,,,,,,0
383,8265,"Ridge Rd at Horton St",,35.811676,-78.684278,,,,,,0
384,8266,"Ridge Rd at Anclote Pl",,35.805546,-78.686685,,,,,,0
385,8267,"Ridge Rd at Wade Ave (SB)",,35.802694,-78.687552,,,,,,0
386,8268,"Wade Ave at Ridge Rd (Meredith College)",,35.801491,-78.686649,,,,,,0
388,8270,"Dixie Trail at O'Berry St (SB)",,35.799838,-78.676358,,,,,,0
389,8271,"Dixie Trail at Ruffin St",,35.796690,-78.676340,,,,,,0
390,8272,"Dixie Trail at Clark Ave",,35.792711,-78.675822,,,,,,0
391,8273,"Hillsborough St at Friendly Dr",,35.789555,-78.676498,,,,,,0
392,8274,"Hillsborough St at Gardner St (NCSU)",,35.788412,-78.671370,,,,,,0
393,8275,"Hillsborough St at Western Blvd",,35.787155,-78.717827,,,,,,0
394,8276,"Hillsborough St at Horne St (EB)",,35.787638,-78.667865,,,,,,0
395,8277,"Hillsborough St at Enterprise St (NCSU Bell Tower)",,35.786467,-78.663746,,,,,,0
396,8279,"Hillsborough St at Powell Dr",,35.790661,-78.715848,,,,,,0
397,8280,"Hillsborough St at Forest Rd (EB)",,35.784615,-78.659043,,,,,,0
398,8281,"Hillsborough St at NC State Fairgrounds",,35.793045,-78.709216,,,,,,0
399,8282,"Hillsborough St at Park Ave (EB)",,35.783626,-78.656859,,,,,,0
400,8283,"Blue Ridge Rd at Forest View Rd (SB)",,35.816583,-78.705248,,,,,,0
401,8284,"Edwards Mill Rd at Kingdom Way",,35.797933,-78.727312,,,,,,0
402,8285,"Rock Quarry Rd at Edwin Dr (NB)",,35.751167,-78.612069,,,,,,0
405,8288,"Martin Luther King Jr Blvd at Grantland Dr (EB)",,35.770825,-78.610806,,,,,,0
406,8289,"Martin Luther King Jr Blvd at Peyton St (EB)",,35.770873,-78.606422,,,,,,0
408,8291,"Rock Quarry Rd at Vardaman St",,35.770303,-78.619818,,,,,,0
