trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,start_pickup_drop_off_window,end_pickup_drop_off_window,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset,tts_stop_headsign,min_arrival_time,max_departure_time
t_5907698_b_83063_tn_0,,,779237,16,,0,0,8030.338460473546,0,,,,,1,1,,,,,,,,,,,
t_5907698_b_83063_tn_0,,,779160,17,,0,0,8263.65655529444,0,,,,,1,1,,,,,,,,,,,
t_5907698_b_83063_tn_0,,,779266,18,,0,0,8414.433538023404,0,,,,,1,1,,,,,,,,,,,
t_5907698_b_83063_tn_0,,,779185,19,,0,0,8554.241543202445,0,,,,,1,1,,,,,,,,,,,
t_5907698_b_83063_tn_0,,,779371,20,,0,0,8724.203881402169,0,,,,,1,1,,,,,,,,,,,
t_5907698_b_83063_tn_0,,,779280,21,,0,0,8837.739259644837,0,,,,,1,1,,,,,,,,,,,
t_5907698_b_83063_tn_0,,,779368,22,,0,0,9084.68558341873,0,,,,,1,1,,,,,,,,,,,
t_5907698_b_83063_tn_0,,,779218,23,,0,0,9211.541691025555,0,,,,,1,1,,,,,,,,,,,
t_5907698_b_83063_tn_0,07:36:00,07:36:00,779162,24,,0,0,9598.19112076642,1,,,,,1,1,,,,,,,,,,,
t_5907698_b_83063_tn_0,,,779729,25,,0,0,9807.890581285308,0,,,,,1,1,,,,,,,,,,,
t_5907698_b_83063_tn_0,,,779781,26,,0,0,10004.051988608178,0,,,,,1,1,,,,,,,,,,,
t_5907698_b_83063_tn_0,,,779467,27,,0,0,10250.02906851085,0,,,,,1,1,,,,,,,,,,,
t_5907698_b_83063_tn_0,,,779782,28,,0,0,10500.494369205102,0,,,,,1,1,,,,,,,,,,,
t_5907698_b_83063_tn_0,,,779431,29,,0,0,10643.392287912831,0,,,,,1,1,,,,,,,,,,,
t_5907698_b_83063_tn_0,,,780015,30,,0,0,10828.887377371333,0,,,,,1,1,,,,,,,,,,,
t_5907698_b_83063_tn_0,,,779286,31,,0,0,11042.799927986505,0,,,,,1,1,,,,,,,,,,,
t_5907698_b_83063_tn_0,,,4248575,32,,0,0,11313.219236883197,0,,,,,1,1,,,,,,,,,,,
t_5907698_b_83063_tn_0,07:55:00,07:55:00,780017,33,,0,0,11916.066705479996,1,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_1,06:11:00,06:11:00,779393,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_1,06:15:00,06:15:00,779095,2,,0,0,1007.6446983670706,1,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_1,,,2535914,3,,0,0,1391.9440749246842,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_1,,,779841,4,,0,0,3383.330431279472,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_1,,,779856,5,,0,0,3882.5754169016573,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_1,,,779842,6,,0,0,4087.134809358764,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_1,,,779077,7,,0,0,4829.705443020968,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_1,,,779078,8,,0,0,5198.577469118796,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_1,,,779096,9,,0,0,5609.335632076145,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_1,,,779079,10,,0,0,5966.0640646892325,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_1,,,779573,11,,0,0,6512.180418506053,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_1,06:26:00,06:26:00,779214,12,,0,0,6743.567821294374,1,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_1,,,779255,13,,0,0,6952.213245940695,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_1,,,779247,14,,0,0,7245.487229600294,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_1,,,779637,15,,0,0,7458.781327066865,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_1,,,779149,16,,0,0,7628.260172326611,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_1,,,779526,17,,0,0,7783.127823749107,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_1,,,779337,18,,0,0,7981.520942953815,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_1,,,779513,19,,0,0,8208.223032260927,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_1,,,779252,20,,0,0,8612.963436436337,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_1,,,779626,21,,0,0,8835.481465677643,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_1,,,779764,22,,0,0,9063.865015888694,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_1,,,779724,23,,0,0,9267.233841739646,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_1,,,779529,24,,0,0,9431.994993105622,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_1,,,779356,25,,0,0,9728.33473645729,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_1,,,779553,26,,0,0,9964.127858445043,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_1,,,779178,27,,0,0,10191.460765172787,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_1,,,779405,28,,0,0,10442.302797476721,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_1,06:36:00,06:36:00,779176,29,,0,0,10658.249872913166,1,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_1,,,779517,30,,0,0,10851.384577574425,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_1,,,779173,31,,0,0,11096.280756244478,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_1,,,779389,32,,0,0,11259.86573774898,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_1,,,779388,33,,0,0,11675.195770010288,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_1,,,779840,34,,0,0,12163.326728921027,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_1,,,779558,35,,0,0,12357.531397561443,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_1,,,779174,36,,0,0,12537.37734554721,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_1,,,779419,37,,0,0,12668.256426372429,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_1,,,779484,38,,0,0,12869.74159809898,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_1,,,779102,39,,0,0,13065.827110965194,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_1,,,779585,40,,0,0,13247.965444677708,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_1,,,779311,41,,0,0,13484.260152862142,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_1,,,779424,42,,0,0,13729.842985425168,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_1,,,779167,43,,0,0,13939.052375361893,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_1,06:43:00,06:43:00,779274,44,,0,0,14163.053719243102,1,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_1,,,779506,45,,0,0,14519.077081039497,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_1,,,779254,46,,0,0,14694.362715299927,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_1,,,779170,47,,0,0,14886.695502651886,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_1,,,779399,48,,0,0,15049.303665552705,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_1,,,779510,49,,0,0,15298.674546060742,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_1,,,779180,50,,0,0,15467.383114526005,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_1,,,779302,51,,0,0,15680.90084723156,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_1,,,779843,52,,0,0,16051.31234018225,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_1,,,779347,53,,0,0,16475.509974639506,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_1,06:55:00,06:55:00,780017,54,,0,0,17194.86218837001,1,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_2,09:11:00,09:11:00,779393,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_2,09:15:00,09:15:00,779095,2,,0,0,1007.6446983670706,1,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_2,,,2535914,3,,0,0,1391.9440749246842,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_2,,,779841,4,,0,0,3383.330431279472,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_2,,,779856,5,,0,0,3882.5754169016573,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_2,,,779842,6,,0,0,4087.134809358764,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_2,,,779077,7,,0,0,4829.705443020968,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_2,,,779078,8,,0,0,5198.577469118796,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_2,,,779096,9,,0,0,5609.335632076145,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_2,,,779079,10,,0,0,5966.0640646892325,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_2,,,779573,11,,0,0,6512.180418506053,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_2,09:26:00,09:26:00,779214,12,,0,0,6743.567821294374,1,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_2,,,779255,13,,0,0,6952.213245940695,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_2,,,779247,14,,0,0,7245.487229600294,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_2,,,779637,15,,0,0,7458.781327066865,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_2,,,779149,16,,0,0,7628.260172326611,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_2,,,779526,17,,0,0,7783.127823749107,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_2,,,779337,18,,0,0,7981.520942953815,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_2,,,779513,19,,0,0,8208.223032260927,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_2,,,779252,20,,0,0,8612.963436436337,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_2,,,779626,21,,0,0,8835.481465677643,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_2,,,779764,22,,0,0,9063.865015888694,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_2,,,779724,23,,0,0,9267.233841739646,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_2,,,779529,24,,0,0,9431.994993105622,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_2,,,779356,25,,0,0,9728.33473645729,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_2,,,779553,26,,0,0,9964.127858445043,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_2,,,779178,27,,0,0,10191.460765172787,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_2,,,779405,28,,0,0,10442.302797476721,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_2,09:36:00,09:36:00,779176,29,,0,0,10658.249872913166,1,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_2,,,779517,30,,0,0,10851.384577574425,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_2,,,779173,31,,0,0,11096.280756244478,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_2,,,779389,32,,0,0,11259.86573774898,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_2,,,779388,33,,0,0,11675.195770010288,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_2,,,779840,34,,0,0,12163.326728921027,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_2,,,779558,35,,0,0,12357.531397561443,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_2,,,779174,36,,0,0,12537.37734554721,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_2,,,779419,37,,0,0,12668.256426372429,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_2,,,779484,38,,0,0,12869.74159809898,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_2,,,779102,39,,0,0,13065.827110965194,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_2,,,779585,40,,0,0,13247.965444677708,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_2,,,779311,41,,0,0,13484.260152862142,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_2,,,779424,42,,0,0,13729.842985425168,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_2,,,779167,43,,0,0,13939.052375361893,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_2,09:43:00,09:43:00,779274,44,,0,0,14163.053719243102,1,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_2,,,779506,45,,0,0,14519.077081039497,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_2,,,779254,46,,0,0,14694.362715299927,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_2,,,779170,47,,0,0,14886.695502651886,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_2,,,779399,48,,0,0,15049.303665552705,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_2,,,779510,49,,0,0,15298.674546060742,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_2,,,779180,50,,0,0,15467.383114526005,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_2,,,779302,51,,0,0,15680.90084723156,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_2,,,779843,52,,0,0,16051.31234018225,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_2,,,779347,53,,0,0,16475.509974639506,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_2,09:55:00,09:55:00,780017,54,,0,0,17194.86218837001,1,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_3,12:11:00,12:11:00,779393,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_3,12:15:00,12:15:00,779095,2,,0,0,1007.6446983670706,1,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_3,,,2535914,3,,0,0,1391.9440749246842,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_3,,,779841,4,,0,0,3383.330431279472,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_3,,,779856,5,,0,0,3882.5754169016573,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_3,,,779842,6,,0,0,4087.134809358764,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_3,,,779077,7,,0,0,4829.705443020968,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_3,,,779078,8,,0,0,5198.577469118796,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_3,,,779096,9,,0,0,5609.335632076145,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_3,,,779079,10,,0,0,5966.0640646892325,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_3,,,779573,11,,0,0,6512.180418506053,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_3,12:26:00,12:26:00,779214,12,,0,0,6743.567821294374,1,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_3,,,779255,13,,0,0,6952.213245940695,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_3,,,779247,14,,0,0,7245.487229600294,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_3,,,779637,15,,0,0,7458.781327066865,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_3,,,779149,16,,0,0,7628.260172326611,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_3,,,779526,17,,0,0,7783.127823749107,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_3,,,779337,18,,0,0,7981.520942953815,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_3,,,779513,19,,0,0,8208.223032260927,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_3,,,779252,20,,0,0,8612.963436436337,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_3,,,779626,21,,0,0,8835.481465677643,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_3,,,779764,22,,0,0,9063.865015888694,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_3,,,779724,23,,0,0,9267.233841739646,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_3,,,779529,24,,0,0,9431.994993105622,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_3,,,779356,25,,0,0,9728.33473645729,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_3,,,779553,26,,0,0,9964.127858445043,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_3,,,779178,27,,0,0,10191.460765172787,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_3,,,779405,28,,0,0,10442.302797476721,0,,,,,1,1,,,,,,,,,,,
t_5907699_b_83063_tn_3,12:36:00,12:36:00,779176,29,,0,0,10658.249872913166,1,,,,,1,1,,,,,,,,,,,
