stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
5315,5315,"NC 55 at Carpenter Fletcher Rd (NB)",,35.9144093,-78.8915565,,,0,,0
5316,5316,"Lawson St at DTCC Public Safety (EB)",,35.974268,-78.880604,,,0,,0
5317,5317,"Duke University Rd at Anderson St (WB)",,35.998434,-78.929787,,,0,,0
5319,5319,"Old Oxford Rd at Danube Ln (EB)",,36.036239,-78.888041,,,0,,0
5320,5320,"Gregson St at W Knox St",,36.013206,-78.90833,,,0,,0
5324,5324,"Roxboro St at Dunstan Ave",,35.980167,-78.905172,,,0,,0
5325,5325,"Meriwether Dr at Carver Pond Apts",,36.038729,-78.890264,,,0,,0
5326,5326,"Chapel Hill St at Arnette Ave (EB)",,35.996796,-78.914645,,,0,,0
5329,5329,"Briggs Ave at Riddle Rd (NB)",,35.958706,-78.879061,,,0,,0
5331,5331,"Dearborn Dr at Old Oxford Rd (SB)",,36.03863,-78.884186,,,0,,0
5332,5332,"University Dr at Shannon Rd (EB)",,35.96613,-78.95403,,,0,,0
5333,5333,"Angier Ave at Jones Cir (NB)",,35.95724,-78.85315,,,0,,0
5334,5334,"Old Oxford Rd at Danube Ln (WB)",,36.036506,-78.887861,,,0,,0
5335,5335,"Angier Ave at Guthrie Ave (EB)",,35.981461,-78.876298,,,0,,0
5337,5337,"Lakewood Ave at Heritage Square",,35.987545,-78.900944,,,0,,0
5339,5339,"Angier Ave at Jones Cir (SB)",,35.957261,-78.853331,,,0,,0
5340,5340,"Morehead Ave at Kent St (WB)",,35.991938,-78.919569,,,0,,0
5341,5341,"Chapel Hill Rd at University Dr (NB)",,35.96873,-78.93965,,,0,,0
5342,5342,"Morehead Ave at Carroll St (WB)",,35.991794,-78.916041,,,0,,0
5344,5344,"Chapel Hill Rd at Morehead Ave (NB)",,35.99155,-78.92273,,,0,,0
5345,5345,"University Dr at BB&T Plaza",,35.9654,-78.957118,,,0,,0
5347,5347,"E Club Blvd at Dominion St",,36.021915,-78.881301,,,0,,0
5353,5353,"Holloway St at Miami Blvd (EB)",,35.99225,-78.86767,,,0,,0
5354,5354,"NC 55 at Odyssey Dr (NB)",,35.92787,-78.88897,,,0,,0
5355,5355,"NC 55 at Riddle Rd (SB)",,35.9566119,-78.892071,,,0,,0
5357,5357,"Fayetteville St at Cecil St (SB)",,35.9709,-78.901395,,,0,,0
5358,5358,"Holloway St at Bunn Terrace",,35.99383,-78.87373,,,0,,0
5360,5360,"Sima Ave at Ridgeway Ave",,35.9763,-78.88883,,,0,,0
5365,5365,"Raynor St at Hardee St (EB)",,35.995715,-78.865034,,,0,,0
5368,5368,"Meriwether Dr at E Carver St (SB)",,36.04296,-78.891173,,,0,,0
5370,5370,"Dearborn Dr at Martin St",,36.037978,-78.875844,,,0,,0
5377,5377,"Roxboro Rd at Monk Rd (NB)",,36.0594233,-78.9030048,,,0,,0
5379,5379,"University Dr at Chapel Hill Rd (Colonia",,35.967861,-78.941834,,,0,,0
5384,5384,"Lakewood Ave at S Mangum St (WB)",,35.98774,-78.904867,,,0,,0
5387,5387,"Cornwallis Rd at Yorktown Ave (NB)",,35.93712,-78.8939,,,0,,0
5389,5389,"Constitution Dr at McKinley St",,36.020903,-78.967099,,,0,,0
5391,5391,"Fayetteville Rd at Geneva Dr (NB)",,35.920996,-78.92844,,,0,,0
5394,5394,"Chapel Hill Rd at Palmer St (EB)",,35.987554,-78.925959,,,0,,0
5396,5396,"Fayetteville St at Red Oak Ave (NB)",,35.966541,-78.904635,,,0,,0
5397,5397,"Fayetteville St at Dunbar St",,35.9788676,-78.9000381,,,0,,0
5399,5399,"Club Blvd at Duke St",,36.017019,-78.906174,,,0,,0
