trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,shape_id,wheelchair_accessible,bikes_allowed,block_id,block_name
2831038,27164,47739,,,0,87073 92607,1,1,,
2831039,27164,47739,,,0,87073 92607,1,1,,
2831040,27164,47739,,,0,87073 92607,1,1,,
2831041,27164,47739,,,0,87073 92607,1,1,,
2831042,27164,47739,,,0,87073 92607,1,1,,
2831043,27164,47739,,,0,87073 92607,1,1,,
2831044,27164,47739,,,0,87073 92607,1,1,,
2831045,27164,47739,,,0,87073 92607,1,1,,
2831046,27164,47739,,,0,87073 92607,1,1,,
2831047,27164,47739,,,0,87073 92607,1,1,,
2563071,27165,47736,,,0,87074 92608,1,1,,
2831069,27165,47736,,,0,87074 92608,1,1,,
2831070,27165,47736,,,0,87074 92608,1,1,,
2831071,27165,47736,,,0,87074 92608,1,1,,
2831072,27165,47736,,,0,87074 92608,1,1,,
2831073,27165,47736,,,0,87074 92608,1,1,,
2831074,27165,47736,,,0,87074 92608,1,1,,
2831075,27165,47736,,,0,87074 92608,1,1,,
2831076,27165,47736,,,0,87074 92608,1,1,,
2563070,27165,47740,,,0,87074 92608,1,1,,
2831056,27165,47740,,,0,87074 92608,1,1,,
2831057,27165,47740,,,0,87074 92608,1,1,,
2831058,27165,47740,,,0,87074 92608,1,1,,
2831059,27165,47740,,,0,87074 92608,1,1,,
2831060,27165,47740,,,0,87074 92608,1,1,,
2831061,27165,47740,,,0,87074 92608,1,1,,
2831062,27165,47740,,,0,87074 92608,1,1,,
2831063,27165,47740,,,0,87074 92608,1,1,,
2831064,27165,47740,,,0,87074 92608,1,1,,
2831065,27165,47740,,,0,87074 92608,1,1,,
2831066,27165,47740,,,0,87074 92608,1,1,,
2831067,27165,47740,,,0,87074 92608,1,1,,
2831068,27165,47740,,,0,87074 92608,1,1,,
2563072,27166,47737,,,0,87075 92609,1,1,,
2831077,27166,47737,,,0,87075 92609,1,1,,
2831078,27166,47737,,,0,87075 92609,1,1,,
2831079,27166,47737,,,0,87075 92609,1,1,,
2831080,27166,47737,,,0,87075 92609,1,1,,
2831081,27166,47737,,,0,87075 92609,1,1,,
2831082,27166,47737,,,0,87075 92609,1,1,,
2831083,27166,47737,,,0,87075 92609,1,1,,
2831084,27166,47737,,,0,87075 92609,1,1,,
2831085,27166,47737,,,0,87075 92609,1,1,,
2831086,27166,47737,,,0,87075 92609,1,1,,
2831087,27166,47737,,,0,87075 92609,1,1,,
2831088,27166,47737,,,0,87075 92609,1,1,,
2563073,27166,47741,,,0,87075 92609,1,1,,
2831089,27166,47741,,,0,87075 92609,1,1,,
2831090,27166,47741,,,0,87075 92609,1,1,,
2831091,27166,47741,,,0,87075 92609,1,1,,
2831092,27166,47741,,,0,87075 92609,1,1,,
2831093,27166,47741,,,0,87075 92609,1,1,,
2831094,27166,47741,,,0,87075 92609,1,1,,
2831095,27166,47741,,,0,87075 92609,1,1,,
2831096,27166,47741,,,0,87075 92609,1,1,,
