route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
5644,72451.213256,1110589,Route 30,,,48455,72451,0,0
5644,72451.213256,1110590,Route 30,,,48455,72451,0,0
5644,72451.213256,1110591,Route 30,,,48455,72451,0,0
5644,72451.213256,1110592,Route 30,,,48455,72451,0,0
5644,72451.213256,1110593,Route 30,,,48455,72451,0,0
5644,72451.213256,1110594,Route 30,,,48455,72451,0,0
5644,72451.213256,1110595,Route 30,,,48455,72451,0,0
5644,72451.213256,1110596,Route 30,,,48455,72451,0,0
5644,72451.213256,1110597,Route 30,,,48455,72451,0,0
5644,59215.162571,1110598,Route 30,,,48453,72451,0,0
5644,59215.162571,1110599,Route 30,,,48453,72451,0,0
5644,59215.162571,1110600,Route 30,,,48453,72451,0,0
5644,59215.162571,1110601,Route 30,,,48453,72451,0,0
5644,59215.162571,1110602,Route 30,,,48453,72451,0,0
5644,59215.162571,1110603,Route 30,,,48453,72451,0,0
5644,59215.162571,1110604,Route 30,,,48453,72451,0,0
5644,59215.162571,1110605,Route 30,,,48453,72451,0,0
5644,59215.162571,1110606,Route 30,,,48453,72451,0,0
5644,59215.162571,1110607,Route 30,,,48453,72451,0,0
5644,59215.162571,1110608,Route 30,,,48453,72451,0,0
5644,59215.162571,1110609,Route 30,,,48453,72451,0,0
5644,59215.162571,1110610,Route 30,,,48453,72451,0,0
5644,59215.162571,1110611,Route 30,,,48453,72451,0,0
5644,59215.162571,1110612,Route 30,,,48453,72451,0,0
5644,59215.162571,1110613,Route 30,,,48453,72451,0,0
5644,59215.162571,1110614,Route 30,,,48453,72451,0,0
5644,59215.162571,1110615,Route 30,,,48453,72451,0,0
5644,59215.162571,1110616,Route 30,,,48453,72451,0,0
5644,59215.162571,1110617,Route 30,,,48453,72451,0,0
5644,59215.162571,1110618,Route 30,,,48453,72451,0,0
5644,59215.162571,1110619,Route 30,,,48453,72451,0,0
5644,59215.162571,1110620,Route 30,,,48453,72451,0,0
5644,59215.162571,1110621,Route 30,,,48453,72451,0,0
5644,59215.162571,1110622,Route 30,,,48453,72451,0,0
5644,59215.162571,1110623,Route 30,,,48453,72451,0,0
5644,59215.162571,1110624,Route 30,,,48453,72451,0,0
5644,59215.162571,1110625,Route 30,,,48453,72451,0,0
5644,59215.162571,1110626,Route 30,,,48453,72451,0,0
5644,59215.162571,1110627,Route 30,,,48453,72451,0,0
5643,59215.162571,1052557,Route 41,,,48462,70572,0,0
5643,59215.162571,1052560,Route 41,,,48462,70572,0,0
5643,59215.162571,1052561,Route 41,,,48462,70572,0,0
5643,59215.162571,1052562,Route 41,,,48462,70572,0,0
5643,59215.162571,1052563,Route 41,,,48462,70572,0,0
5643,59215.162571,1052564,Route 41,,,48462,70572,0,0
5643,59215.162571,1052565,Route 41,,,48462,70572,0,0
5643,59215.162571,1052566,Route 41,,,48462,70572,0,0
5643,59215.162571,1052567,Route 41,,,48462,70572,0,0
5643,59215.162571,1052568,Route 41,,,48462,70572,0,0
