school_name,geocode_flag,county,sch_type,sch_ptype,sch_ctype,lat,lon,nearest_stop_distance_m,stops_within_radius,avg_daily_trips_nearby,in_service_area,n_agencies_loaded
ColtraneWebb Elementary,review_recommended,Cabarrus,Regular School,Magnet,Traditional,35.41098286230248,-80.58466605449256,320.1,21,14.0,True,21
Concord Middle,review_recommended,Cabarrus,Regular School,None,Traditional,35.41316288384447,-80.58826464357398,384.0,13,14.0,True,21
Concord High,review_recommended,Cabarrus,Regular School,None,Traditional,35.433632080081985,-80.58227939955172,1451.8,0,0.0,True,21
J N Fries Magnet School,ok,Cabarrus,Regular School,Magnet,Traditional,35.366993727177686,-80.59365357584842,1137.3,0,0.0,True,21
Mount Pleasant High,ok,Cabarrus,Regular School,None,Traditional,35.407976247373945,-80.48172262100331,8667.6,0,0.0,False,21
Northwest Cabarrus High,ok,Cabarrus,Regular School,None,Traditional,35.450459547331704,-80.66240613708781,1443.5,0,0.0,True,21
Northwest Cabarrus Middle,review_recommended,Cabarrus,Regular School,None,Traditional,35.453183331158776,-80.66505346380993,1796.0,0,0.0,True,21
Royal Oaks Elementary,review_recommended,Cabarrus,Regular School,None,Traditional,35.4665891772113,-80.61306595085826,287.2,6,14.0,True,21
Rocky River Elementary,review_recommended,Cabarrus,Regular School,None,Traditional,35.34249940158871,-80.59718515334791,3795.5,0,0.0,True,21
R Brown  McAllister Elementary,review_recommended,Cabarrus,Regular School,None,Traditional,35.39742726272035,-80.56699817475415,1120.4,0,0.0,True,21
W R Odell Elementary,review_recommended,Cabarrus,Regular School,None,Traditional,35.42771092613732,-80.73868190000472,5210.7,0,0.0,False,21
Winecoff Elementary,ok,Cabarrus,Regular School,None,Traditional,35.447731704160056,-80.61883296637735,111.3,5,14.0,True,21
A L Brown High,review_recommended,Cabarrus,Regular School,None,Traditional,35.49600958011028,-80.61953632909788,30.1,8,17.5,True,21
Fred L Wilson Elementary,review_recommended,Cabarrus,Regular School,None,Traditional,35.49735514563208,-80.64634997053993,116.9,3,14.0,True,21
Jackson Park Elementary,review_recommended,Cabarrus,Regular School,None,Traditional,35.504915902662056,-80.6020416632568,367.3,4,17.5,True,21
Kannapolis Middle,review_recommended,Cabarrus,Regular School,None,Traditional,35.49247742150217,-80.6170617005965,310.8,8,17.5,True,21
Shady Brook Elementary,review_recommended,Cabarrus,Regular School,None,Traditional,35.47467210960056,-80.64001094437214,266.5,3,14.0,True,21
Woodrow Wilson Elementary,review_recommended,Cabarrus,Regular School,None,Traditional,35.507921711516346,-80.62009308018484,255.9,6,14.0,True,21
Baton Elementary,review_recommended,Caldwell,Regular School,None,Traditional,35.80792103844155,-81.53649266039088,12273.6,0,0.0,False,21
Caldwell Co Gateway Sch,review_recommended,Caldwell,Alternative Education,None,Traditional,35.864441995045354,-81.36903355401634,7750.0,0,0.0,False,21
Davenport A+ School,ok,Caldwell,Regular School,None,Traditional,35.91227239805623,-81.54021002729101,20377.6,0,0.0,False,21
Dudley Shoals Elementary,review_recommended,Caldwell,Regular School,None,Traditional,35.855935673078555,-81.39285554983366,10092.0,0,0.0,False,21
Gamewell Elementary,review_recommended,Caldwell,Regular School,None,Traditional,35.868896126283396,-81.59702184612667,13763.7,0,0.0,False,21
Granite Falls Middle,review_recommended,Caldwell,Regular School,None,Traditional,35.798101464976945,-81.4325815757609,8958.0,0,0.0,False,21
