county,year,internet_type,pct_households,lat,lon,internet_category
Burke County,2017,estimate - total - with an internet subscription - broadband of any type,1.0,35.7496512088578,-81.70485353540755,estimate - total - with an internet subscription - broadband of any type
Forsyth County,2022,internet access without a subscription,1.0,36.13062567122969,-80.25630114652601,internet access without a subscription
Hertford County,2022,with an internet subscription - dial-up with no other type of internet subscription,1.0,36.358642218239176,-76.98071728399792,dialup
Lincoln County,2022,with an internet subscription - satellite internet service - satellite internet service with no other type of internet subscription,1.0,35.48560616138602,-81.2235339928295,satellite
Pasquotank County,2022,"with an internet subscription - broadband such as cable, fiber optic or dsl - broadband such as cable, fiber optic or dsl with no other type of internet subscription",1.0,36.26386298574299,-76.24813716698364,fiber
Wake County,2022,with an internet subscription - cellular data plan - cellular data plan with no other type of internet subscription,1.0,35.79031905938475,-78.65028589163481,with an internet subscription - cellular data plan - cellular data plan with no other type of internet subscription
Bertie County,2021,total households,1.0,36.0656374787016,-76.96671441379404,total households
Camden County,2021,"with an internet subscription - broadband such as cable, fiber optic or dsl",1.0,36.34112486244428,-76.16094531961079,fiber
Caswell County,2021,internet access without a subscription,1.0,36.39328046214458,-79.33352583013493,internet access without a subscription
Columbus County,2021,with an internet subscription - satellite internet service - satellite internet service with no other type of internet subscription,1.0,34.26565549168028,-78.65501030724411,satellite
Edgecombe County,2021,no internet access,1.0,35.91288649121048,-77.59706485605385,no internet access
Greene County,2021,"with an internet subscription - broadband such as cable, fiber optic or dsl - broadband such as cable, fiber optic or dsl with no other type of internet subscription",1.0,35.48498900615431,-77.67577990432923,fiber
Mitchell County,2021,with an internet subscription - cellular data plan - cellular data plan with no other type of internet subscription,1.0,36.013210021060225,-82.16358484600214,with an internet subscription - cellular data plan - cellular data plan with no other type of internet subscription
Montgomery County,2021,total households,1.0,35.332405738046155,-79.90548690677072,total households
Orange County,2021,"with an internet subscription - broadband such as cable, fiber optic or dsl - broadband such as cable, fiber optic or dsl with no other type of internet subscription",1.0,36.06112067259299,-79.12065214660528,fiber
Orange County,2021,with an internet subscription - satellite internet service - satellite internet service with no other type of internet subscription,1.0,36.06112067259299,-79.12065214660528,satellite
