edu_school_name,edu_county,edu_rate,grade_span,county_norm,name_norm,reason
Pleasant Grove Elementary,Wake,0.1202,P2:05,wake,pleasant grove elementary,best fuzzy score 80 below threshold 85
Vernon Malone College and Career Academy,Wake,0.0623,9:13,wake,vernon malone college and career academy,best fuzzy score 55 below threshold 85
Wake Forest High School,Wake,0.1978,9:12,wake,wake forest high,best fuzzy score 76 below threshold 85
Walnut Creek Elementary,Wake,0.246,P2:05,wake,walnut creek elementary,best fuzzy score 84 below threshold 85
Rolesville High,Wake,0.2289,9:12,wake,rolesville high,best fuzzy score 76 below threshold 85
Rogers Lane Elementary,Wake,0.1366,P2:05,wake,rogers lane elementary,best fuzzy score 81 below threshold 85
River Bend Middle,Wake,0.1494,6:08,wake,river bend middle,best fuzzy score 71 below threshold 85
South Garner High,Wake,0.2258,9:11,wake,south garner high,best fuzzy score 79 below threshold 85
Buckhorn Creek Elementary,Wake,0.0795,P2:05,wake,buckhorn creek elementary,best fuzzy score 81 below threshold 85
Apex Friendship Middle,Wake,0.0735,6:08,wake,apex friendship middle,best fuzzy score 67 below threshold 85
Beaverdam Elementary,Wake,0.139,P1:05,wake,beaverdam elementary,best fuzzy score 83 below threshold 85
Fuquay-Varina High,Wake,0.2005,9:12,wake,fuquay varina high,best fuzzy score 69 below threshold 85
Fuquay-Varina Middle,Wake,0.1305,6:08,wake,fuquay varina middle,best fuzzy score 67 below threshold 85
East Wake High,Wake,0.2446,9:12,wake,east wake high,best fuzzy score 73 below threshold 85
Enloe High,Wake,0.1742,9:12,wake,enloe high,best fuzzy score 67 below threshold 85
Ronda-Clingman Elementary School,Wilkes,0.1301,PK:05,wilkes,ronda clingman elementary,best fuzzy score 65 below threshold 85
Wilkes County Schools,Wilkes,0.1218,,wilkes,wilkes county schools,best fuzzy score 60 below threshold 85
Frederick Douglass Elementary,Wilson,0.0575,KG:05,wilson,frederick douglass elementary,best fuzzy score 68 below threshold 85
Wayne County Public Schools,Wayne,0.2021,,wayne,wayne county public schools,best fuzzy score 46 below threshold 85
Dillard Academy,Wayne,0.2592,KG:08,wayne,dillard academy,best fuzzy score 55 below threshold 85
Wayne Preparatory Academy,Wayne,0.1893,KG:08,wayne,wayne preparatory academy,best fuzzy score 60 below threshold 85
Boomer-Ferguson Elementary School,Wilkes,0.1016,PK:05,wilkes,boomer ferguson elementary,best fuzzy score 67 below threshold 85
Yadkin County Schools,Yadkin,0.1413,,yadkin,yadkin county schools,best fuzzy score 60 below threshold 85
Yancey County Schools,Yancey,0.1748,,yancey,yancey county schools,best fuzzy score 51 below threshold 85
State of North Carolina,,0.1588,,,state of north carolina,no transit schools in this county
Spring Creek Middle,Wayne,0.1827,5:08,wayne,spring creek middle,best fuzzy score 78 below threshold 85
Sallie B Howard School,Wilson,0.1346,KG:08,wilson,sallie b howard,best fuzzy score 41 below threshold 85
Wilson Preparatory Academy,Wilson,0.1331,KG:12,wilson,wilson preparatory academy,best fuzzy score 70 below threshold 85
Wilson County Schools,Wilson,0.1419,,wilson,wilson county schools,best fuzzy score 53 below threshold 85
Casa Esperanza Montessori Charter School,Wake,0.0549,PK:08,wake,casa esperanza montessori charter,best fuzzy score 49 below threshold 85
