edu_school_name,edu_county,edu_rate,grade_span,county_norm,name_norm,reason
Ashley Chapel Educational Center,Richmond,0.8636,07:12,richmond,ashley chapel educational center,best fuzzy score 45 below threshold 85
Haywood County Schools,Haywood,0.0593,,haywood,haywood county schools,best fuzzy score 62 below threshold 85
Newton Conover City Schools,Catawba,0.1007,,catawba,newton conover city schools,best fuzzy score 62 below threshold 85
Newton-Conover Middle,Catawba,0.0936,06:08,catawba,newton conover middle,best fuzzy score 64 below threshold 85
Newton-Conover High,Catawba,0.1664,09:12,catawba,newton conover high,best fuzzy score 71 below threshold 85
Hickory City Schools,Catawba,0.12,,catawba,hickory city schools,best fuzzy score 56 below threshold 85
Southwest Primary,Catawba,0.1044,PK:02,catawba,southwest primary,best fuzzy score 76 below threshold 85
Catawba County Schools,Catawba,0.0819,,catawba,catawba county schools,best fuzzy score 57 below threshold 85
Clay County Schools,Clay,0.078,,clay,clay county schools,best fuzzy score 35 below threshold 85
Edenton-Chowan Schools,Chowan,0.0715,,chowan,edenton chowan schools,best fuzzy score 51 below threshold 85
The Learning Center,Cherokee,0.1229,0K:08,cherokee,the learning center,best fuzzy score 51 below threshold 85
Cherokee County Schools,Cherokee,0.1159,,cherokee,cherokee county schools,best fuzzy score 43 below threshold 85
Tri-County Early College High,Cherokee,0.1527,09:13,cherokee,tri county early college high,best fuzzy score 77 below threshold 85
The Oaks Academy,Cherokee,0.8571,06:12,cherokee,the oaks academy,best fuzzy score 43 below threshold 85
Bridges School,Carteret,0.7727,0K:12,carteret,bridges,best fuzzy score 45 below threshold 85
Caldwell County Schools,Caldwell,0.1223,,caldwell,caldwell county schools,best fuzzy score 62 below threshold 85
Caswell County Schools,Caswell,0.1551,,caswell,caswell county schools,best fuzzy score 42 below threshold 85
Carteret County Public Schools,Carteret,0.0778,,carteret,carteret county public schools,best fuzzy score 54 below threshold 85
Marine Sci. & Tech. Early College HS,Carteret,0.0526,09:10,carteret,marine sci and tech early college high,best fuzzy score 45 below threshold 85
Down East Middle School and Smyrna Eleme,Carteret,0.073,PK:08,carteret,down east middle and smyrna eleme,best fuzzy score 48 below threshold 85
Ferguson-Easley Elementary,Cumberland,0.1167,0K:05,cumberland,ferguson easley elementary,best fuzzy score 75 below threshold 85
Seventy-First High,Cumberland,0.213,09:12,cumberland,seventy first high,best fuzzy score 69 below threshold 85
Howard Learning Academy Middle School,Cumberland,0.8051,05:08,cumberland,howard learning academy middle,best fuzzy score 57 below threshold 85
Walker-Spivey Elementary,Cumberland,0.1785,0K:05,cumberland,walker spivey elementary,best fuzzy score 70 below threshold 85
Columbus County Schools,Columbus,0.1405,,columbus,columbus county schools,best fuzzy score 62 below threshold 85
Hallsboro-Artesia Elementary,Columbus,0.125,PK:05,columbus,hallsboro artesia elementary,best fuzzy score 73 below threshold 85
East Columbus Junior-Senior High,Columbus,0.2364,09:12,columbus,east columbus junior senior high,best fuzzy score 72 below threshold 85
Cleveland County Schools,Cleveland,0.0903,,cleveland,cleveland county schools,best fuzzy score 68 below threshold 85
Craven County Schools,Craven,0.0839,,craven,craven county schools,best fuzzy score 49 below threshold 85
Oaks Road Academy,Craven,0.0831,0K:05,craven,oaks road academy,best fuzzy score 70 below threshold 85
Vanceboro-Farm Life Elementary,Craven,0.0887,PK:05,craven,vanceboro farm life elementary,best fuzzy score 85 below threshold 85
Columbus Charter School,Columbus,0.0823,0K:08,columbus,columbus charter,best fuzzy score 47 below threshold 85
Thomas Academy,Columbus,0.1444,06:12,columbus,thomas academy,best fuzzy score 53 below threshold 85
Whiteville City Schools,Columbus,0.1433,,columbus,whiteville city schools,best fuzzy score 68 below threshold 85
Beaufort County Educational Technical Ce,Beaufort,0.6909,06:12,beaufort,beaufort county educational technical ce,best fuzzy score 57 below threshold 85
Grandfather Academy Inc,Avery,0.5769,01:12,avery,grandfather academy inc,best fuzzy score 58 below threshold 85
Avery County Schools,Avery,0.0926,,avery,avery county schools,best fuzzy score 76 below threshold 85
Blue Ridge High School,Avery,0.4285,06:12,avery,blue ridge high,best fuzzy score 46 below threshold 85
Ashe County Schools,Ashe,0.0731,,ashe,ashe county schools,best fuzzy score 74 below threshold 85
Anson County Schools,Anson,0.2048,,anson,anson county schools,best fuzzy score 51 below threshold 85
Paul R. Brown Leadership Academy,Bladen,0.0746,06:12,bladen,paul r brown leadership academy,best fuzzy score 51 below threshold 85
Bladen County Schools,Bladen,0.1068,,bladen,bladen county schools,best fuzzy score 54 below threshold 85
Three Rivers Academy,Bertie,0.4788,0K:08,bertie,three rivers academy,best fuzzy score 41 below threshold 85
Bertie County Schools,Bertie,0.0963,,bertie,bertie county schools,best fuzzy score 56 below threshold 85
Beaufort County Schools,Beaufort,0.0978,,beaufort,beaufort county schools,best fuzzy score 57 below threshold 85
Ray Street Academy,Alamance,0.3827,06:12,alamance,ray street academy,best fuzzy score 44 below threshold 85
Audrey W.Garrett Elementary,Alamance,0.0631,PK:05,alamance,audrey w garrett elementary,best fuzzy score 80 below threshold 85
ABSS Early College at ACC,Alamance,0.0614,09:13,alamance,abss early college at acc,best fuzzy score 48 below threshold 85
Southern Alamance Middle,Alamance,0.0849,06:08,alamance,southern alamance middle,best fuzzy score 77 below threshold 85
Anson County Early College High School,Anson,0.088,09:13,anson,anson county early college high,best fuzzy score 83 below threshold 85
Alleghany County Schools,Alleghany,0.0957,,alleghany,alleghany county schools,best fuzzy score 58 below threshold 85
Alexander County Schools,Alexander,0.0502,,alexander,alexander county schools,best fuzzy score 65 below threshold 85
The Hawbridge School,Alamance,0.0505,04:12,alamance,the hawbridge,best fuzzy score 54 below threshold 85
Clover Garden,Alamance,0.0663,0K:12,alamance,clover garden,best fuzzy score 52 below threshold 85
Alamance-Burlington Schools,Alamance,0.1213,,alamance,alamance burlington schools,best fuzzy score 73 below threshold 85
Western Alamance Middle,Alamance,0.1022,06:08,alamance,western alamance middle,best fuzzy score 82 below threshold 85
The Center of Applied Sciences and Techn,Brunswick,0.3,06:12,brunswick,the center of applied sciences and techn,best fuzzy score 41 below threshold 85
New Dimensions A Public Charter School,Burke,0.051,0K:08,burke,new dimensions a public charter,best fuzzy score 39 below threshold 85
Burke County Schools,Burke,0.0669,,burke,burke county schools,best fuzzy score 51 below threshold 85
Mountain View Elementary School,Burke,0.0665,PK:05,burke,mountain view elementary,best fuzzy score 78 below threshold 85
The Franklin School of Innovation,Buncombe,0.1781,05:12,buncombe,the franklin of innovation,best fuzzy score 41 below threshold 85
Evergreen Community Charter,Buncombe,0.059,0K:08,buncombe,evergreen community charter,best fuzzy score 54 below threshold 85
Asheville City Schools,Buncombe,0.0989,,buncombe,asheville city schools,best fuzzy score 67 below threshold 85
Gateway School,Caldwell,0.7727,06:12,caldwell,gateway,best fuzzy score 54 below threshold 85
Concord Lake STEAM Academy,Cabarrus,0.2247,0K:08,cabarrus,concord lake steam academy,best fuzzy score 50 below threshold 85
Cabarrus Charter Academy,Cabarrus,0.1592,0K:12,cabarrus,cabarrus charter academy,best fuzzy score 55 below threshold 85
Carolina International School,Cabarrus,0.098,0K:12,cabarrus,carolina international,best fuzzy score 46 below threshold 85
Kannapolis City Schools,Cabarrus,0.1207,,cabarrus,kannapolis city schools,best fuzzy score 65 below threshold 85
North Kannapolis Elementary,Cabarrus,0.0613,PK:05,cabarrus,north kannapolis elementary,best fuzzy score 67 below threshold 85
Cabarrus County Schools,Cabarrus,0.0596,,cabarrus,cabarrus county schools,best fuzzy score 65 below threshold 85
Cabarrus-Kannapolis Early College,Cabarrus,0.0921,09:13,cabarrus,cabarrus kannapolis early college,best fuzzy score 68 below threshold 85
GW Carver Elementary School,Cabarrus,0.0796,0K:05,cabarrus,gw carver elementary,best fuzzy score 71 below threshold 85
Montford North Star Academy,Buncombe,0.0995,06:08,buncombe,montford north star academy,best fuzzy score 50 below threshold 85
Charles D Owen Middle,Buncombe,0.0551,06:08,buncombe,charles d owen middle,best fuzzy score 69 below threshold 85
Charles D Owen High,Buncombe,0.0668,09:12,buncombe,charles d owen high,best fuzzy score 64 below threshold 85
Charles C Bell Elementary,Buncombe,0.0524,0K:05,buncombe,charles c bell elementary,best fuzzy score 75 below threshold 85
South Brunswick Charter School,Brunswick,0.0767,0K:05,brunswick,south brunswick charter,best fuzzy score 79 below threshold 85
Charter Day School,Brunswick,0.0722,0K:08,brunswick,charter day,best fuzzy score 41 below threshold 85
Brunswick County Schools,Brunswick,0.1131,,brunswick,brunswick county schools,best fuzzy score 67 below threshold 85
Clyde A Erwin High,Buncombe,0.1018,09:12,buncombe,clyde a erwin high,best fuzzy score 71 below threshold 85
Clyde A Erwin Middle,Buncombe,0.0965,07:08,buncombe,clyde a erwin middle,best fuzzy score 75 below threshold 85
Asheville Primary School,Buncombe,0.098,PK:03,buncombe,asheville primary,best fuzzy score 71 below threshold 85
Buncombe County Schools,Buncombe,0.0703,,buncombe,buncombe county schools,best fuzzy score 65 below threshold 85
Charles T. Koontz Intermediate School,Buncombe,0.0535,05:06,buncombe,charles t koontz intermediate,best fuzzy score 79 below threshold 85
William W Estes Elementary,Buncombe,0.0531,0K:05,buncombe,william w estes elementary,best fuzzy score 80 below threshold 85
Shining Rock Classical Academy: CFA,Haywood,0.0771,0K:08,haywood,shining rock classical academy cfa,best fuzzy score 37 below threshold 85
James Benson Dudley High School,Guilford,0.304,09:12,guilford,james benson dudley high,best fuzzy score 63 below threshold 85
Ceasar Cone Elementary School,Guilford,0.1666,PK:05,guilford,ceasar cone elementary,best fuzzy score 81 below threshold 85
Monticello-Brown Summit Elementary Schoo,Guilford,0.1432,PK:05,guilford,monticello brown summit elementary schoo,best fuzzy score 79 below threshold 85
"Bluford Science, Technology, Engineering",Guilford,0.1278,0K:05,guilford,bluford science technology engineering,best fuzzy score 50 below threshold 85
Dr Melvin C Swann Jr Middle School,Guilford,0.1084,06:08,guilford,dr melvin c swann jr middle,best fuzzy score 51 below threshold 85
Greene County Schools,Greene,0.0805,,greene,greene county schools,best fuzzy score 73 below threshold 85
Falls Lake Academy,Granville,0.0521,0K:12,granville,falls lake academy,best fuzzy score 45 below threshold 85
Granville County Schools,Granville,0.1113,,granville,granville county schools,best fuzzy score 65 below threshold 85
Stovall-Shaw Elementary,Granville,0.0641,PK:05,granville,stovall shaw elementary,best fuzzy score 80 below threshold 85
South Granville High,Granville,0.1445,09:12,granville,south granville high,best fuzzy score 67 below threshold 85
William Penn - Alfred J. Griffin School,Guilford,0.0642,06:12,guilford,william penn alfred j griffin,best fuzzy score 45 below threshold 85
John Chavis Middle School,Gaston,0.0987,06:08,gaston,john chavis middle,best fuzzy score 84 below threshold 85
Webb Street School,Gaston,0.2661,PK:12,gaston,webb street,best fuzzy score 78 below threshold 85
Edward D Sadler Jr Elementary School,Gaston,0.0732,PK:05,gaston,edward d sadler jr elementary,best fuzzy score 74 below threshold 85
Stuart W Cramer High School,Gaston,0.1869,09:12,gaston,stuart w cramer high,best fuzzy score 49 below threshold 85
Phoenix Academy,Granville,0.7647,0K:12,granville,phoenix academy,best fuzzy score 42 below threshold 85
Butner-Stem Elementary,Granville,0.0954,PK:05,granville,butner stem elementary,best fuzzy score 79 below threshold 85
Butner-Stem Middle,Granville,0.0952,06:08,granville,butner stem middle,best fuzzy score 74 below threshold 85
Graham County Schools,Graham,0.1015,,graham,graham county schools,best fuzzy score 32 below threshold 85
Gates County Schools,Gates,0.1297,,gates,gates county schools,best fuzzy score 68 below threshold 85
Community Public Charter,Gaston,0.0954,0K:05,gaston,community public charter,best fuzzy score 46 below threshold 85
Ridgeview Charter School,Gaston,0.1466,0K:04,gaston,ridgeview charter,best fuzzy score 50 below threshold 85
Gaston County Schools,Gaston,0.1134,,gaston,gaston county schools,best fuzzy score 54 below threshold 85
KIPP Halifax College Preparatory,Halifax,0.0869,0K:08,halifax,kipp halifax college preparatory,best fuzzy score 50 below threshold 85
Weldon City Schools,Halifax,0.2207,,halifax,weldon city schools,best fuzzy score 60 below threshold 85
Weldon STEM High School Career Academies,Halifax,0.4772,09:12,halifax,weldon stem high career academies,best fuzzy score 50 below threshold 85
Weldon Elementary Global Academy,Halifax,0.1115,PK:04,halifax,weldon elementary global academy,best fuzzy score 69 below threshold 85
Roanoke Rapids City Schools,Halifax,0.1534,,halifax,roanoke rapids city schools,best fuzzy score 70 below threshold 85
Roanoke Rapids Early College High School,Halifax,0.0865,09:13,halifax,roanoke rapids early college high,best fuzzy score 73 below threshold 85
John Armstrong Chaloner Middle School,Halifax,0.1699,06:08,halifax,john armstrong chaloner middle,best fuzzy score 67 below threshold 85
Halifax County Schools,Halifax,0.1934,,halifax,halifax county schools,best fuzzy score 50 below threshold 85
William R Davie Middle S.T.E.M. Academy,Halifax,0.2523,06:08,halifax,william r davie middle s t e m academy,best fuzzy score 73 below threshold 85
Southeast Halifax Collegiate Prep Academ,Halifax,0.2488,09:12,halifax,southeast halifax collegiate prep academ,best fuzzy score 58 below threshold 85
Pittman Elementary Leadership Academy,Halifax,0.1206,PK:05,halifax,pittman elementary leadership academy,best fuzzy score 65 below threshold 85
Northwest Halifax Collegiate and Technic,Halifax,0.384,09:12,halifax,northwest halifax collegiate and technic,best fuzzy score 47 below threshold 85
Inborden Elementary S.T.E.A.M. Academy,Halifax,0.126,PK:05,halifax,inborden elementary s t e a m academy,best fuzzy score 68 below threshold 85
Hollister Elementary Leadership Academy,Halifax,0.0925,PK:05,halifax,hollister elementary leadership academy,best fuzzy score 68 below threshold 85
Everetts Elementary S.T.E.M. Academy,Halifax,0.27,PK:05,halifax,everetts elementary s t e m academy,best fuzzy score 70 below threshold 85
Erwin Elementary at Gentry,Harnett,0.071,0K:05,harnett,erwin elementary at gentry,best fuzzy score 76 below threshold 85
Anderson Creek Academy,Harnett,0.0725,0K:05,harnett,anderson creek academy,best fuzzy score 64 below threshold 85
Harnett County Schools,Harnett,0.09,,harnett,harnett county schools,best fuzzy score 62 below threshold 85
Enfield Middle S.T.E.A.M. Academy,Halifax,0.1,06:08,halifax,enfield middle s t e a m academy,best fuzzy score 61 below threshold 85
Highland Middle School,Harnett,0.0869,06:08,harnett,highland middle,best fuzzy score 62 below threshold 85
Scotland Neck Elementary Leadership Acad,Halifax,0.0654,PK:05,halifax,scotland neck elementary leadership academy,best fuzzy score 52 below threshold 85
Piedmont Classical High School,Guilford,0.1599,09:12,guilford,piedmont classical high,best fuzzy score 57 below threshold 85
Peeler Open School for the Performing Ar,Guilford,0.0752,0K:05,guilford,peeler open for the performing ar,best fuzzy score 53 below threshold 85
Parkview Village Elementary Expressive A,Guilford,0.1463,PK:05,guilford,parkview village elementary expressive a,best fuzzy score 81 below threshold 85
Walter Hines Page High School,Guilford,0.1509,09:12,guilford,walter hines page high,best fuzzy score 58 below threshold 85
Montlieu Elementary Academy of Technolog,Guilford,0.092,PK:05,guilford,montlieu elementary academy of technolog,best fuzzy score 57 below threshold 85
Meredith Leigh Haynes - Bennie Lee Inman,Guilford,0.3513,PK:12,guilford,meredith leigh haynes bennie lee inman,best fuzzy score 48 below threshold 85
Ronald E. McNair Elementary School,Guilford,0.0676,PK:05,guilford,ronald e mcnair elementary,best fuzzy score 79 below threshold 85
Eastern Guilford Middle School,Guilford,0.11,06:08,guilford,eastern guilford middle,best fuzzy score 82 below threshold 85
Christine Joyner Greene Education Center,Guilford,0.1038,08:12,guilford,christine joyner greene education center,best fuzzy score 62 below threshold 85
Sarah Walden Herbin-Dale J. Metz Educati,Guilford,0.1204,PK:08,guilford,sarah walden herbin dale j metz educati,best fuzzy score 50 below threshold 85
Triad Math and Science Academy,Guilford,0.0938,0K:12,guilford,triad math and science academy,best fuzzy score 66 below threshold 85
Guilford Preparatory Academy,Guilford,0.0946,0K:08,guilford,guilford preparatory academy,best fuzzy score 58 below threshold 85
Guilford County Schools,Guilford,0.1063,,guilford,guilford county schools,best fuzzy score 57 below threshold 85
Calvin Wiley Elementary School,Guilford,0.2826,PK:05,guilford,calvin wiley elementary,best fuzzy score 82 below threshold 85
Aurelian Springs Institute of Global Lea,Halifax,0.1122,PK:05,halifax,aurelian springs institute of global lea,best fuzzy score 63 below threshold 85
Ben L. Smith High School,Guilford,0.3344,09:12,guilford,ben l smith high,best fuzzy score 77 below threshold 85
George C Simkins Jr Elementary School,Guilford,0.077,PK:05,guilford,george c simkins jr elementary,best fuzzy score 64 below threshold 85
Duplin County Schools,Duplin,0.0922,,duplin,duplin county schools,best fuzzy score 49 below threshold 85
Wallace-Rose Hill High,Duplin,0.1175,09:12,duplin,wallace rose hill high,best fuzzy score 79 below threshold 85
Davie County Schools,Davie,0.0578,,davie,davie county schools,best fuzzy score 76 below threshold 85
Charles E Jordan Sr High School,Durham,0.1468,09:12,durham,charles e jordan sr high,best fuzzy score 77 below threshold 85
The School for Creative Studies,Durham,0.1116,06:12,durham,the for creative studies,best fuzzy score 47 below threshold 85
,,0.1153,,,nan,no transit schools in this county
Innovative School District,Wake,0.1415,,wake,innovative district,best fuzzy score 43 below threshold 85
Currituck County Schools,Currituck,0.0888,,currituck,currituck county schools,best fuzzy score 80 below threshold 85
The Capitol Encore Academy,Cumberland,0.1358,0K:08,cumberland,the capitol encore academy,best fuzzy score 43 below threshold 85
Alpha Academy,Cumberland,0.1345,0K:10,cumberland,alpha academy,best fuzzy score 44 below threshold 85
Cumberland County Schools,Cumberland,0.1269,,cumberland,cumberland county schools,best fuzzy score 50 below threshold 85
Ramsey Street Alternative High School,Cumberland,0.8765,09:12,cumberland,ramsey street alternative high,best fuzzy score 52 below threshold 85
Thomasville City Schools,Davidson,0.1231,,davidson,thomasville city schools,best fuzzy score 70 below threshold 85
Lexington City Schools,Davidson,0.1255,,davidson,lexington city schools,best fuzzy score 65 below threshold 85
Southern School of Energy and Sustainabi,Durham,0.268,09:12,durham,southern of energy and sustainabi,best fuzzy score 61 below threshold 85
Dare County Schools,Dare,0.0962,,dare,dare county schools,best fuzzy score 52 below threshold 85
Smith Farm Elementary School,Forsyth,0.0714,PK:05,forsyth,smith farm elementary,best fuzzy score 81 below threshold 85
Ronald Wilson Reagan High,Forsyth,0.115,09:12,forsyth,ronald wilson reagan high,best fuzzy score 63 below threshold 85
Philo-Hill Magnet Academy,Forsyth,0.3116,06:08,forsyth,philo hill magnet academy,best fuzzy score 73 below threshold 85
Middle College of Forsyth County,Forsyth,0.1707,11:12,forsyth,middle college of forsyth county,best fuzzy score 81 below threshold 85
Franklin County Schools,Franklin,0.1034,,franklin,franklin county schools,best fuzzy score 58 below threshold 85
Franklinton Middle School,Franklin,0.1224,06:08,franklin,franklinton middle,best fuzzy score 76 below threshold 85
Diggs-Latham Elementary,Forsyth,0.0823,PK:05,forsyth,diggs latham elementary,best fuzzy score 73 below threshold 85
Appalachian State University Academy at Mi,Forsyth,0.0955,0K:05,forsyth,appalachian state university academy at mi,best fuzzy score 56 below threshold 85
Carter G. Woodson School,Forsyth,0.1624,0K:12,forsyth,carter g woodson,best fuzzy score 59 below threshold 85
Quality Education Academy,Forsyth,0.129,0K:12,forsyth,quality education academy,best fuzzy score 59 below threshold 85
Winston Salem / Forsyth County Schools,Forsyth,0.1317,,forsyth,winston salem forsyth county schools,best fuzzy score 52 below threshold 85
Winston-Salem Preparatory Acad,Forsyth,0.2735,06:12,forsyth,winston salem preparatory academy,best fuzzy score 83 below threshold 85
Wiley Magnet Middle,Forsyth,0.1276,06:08,forsyth,wiley magnet middle,best fuzzy score 77 below threshold 85
W A Pattillo Middle School,Edgecombe,0.1292,06:08,edgecombe,w a pattillo middle,best fuzzy score 68 below threshold 85
Princeville Elementary,Edgecombe,0.1136,PK:05,edgecombe,princeville elementary,best fuzzy score 73 below threshold 85
Coker-Wimberly Elementary,Edgecombe,0.1003,PK:05,edgecombe,coker wimberly elementary,best fuzzy score 70 below threshold 85
KIPP Durham College Preparatory,Durham,0.1169,05:08,durham,kipp durham college preparatory,best fuzzy score 54 below threshold 85
The Institute for the Development of You,Durham,0.2861,0K:08,durham,the institute for the development of you,best fuzzy score 50 below threshold 85
Global Scholars Academy,Durham,0.1415,0K:08,durham,global scholars academy,best fuzzy score 47 below threshold 85
Central Park School for Children,Durham,0.0644,0K:08,durham,central park for children,best fuzzy score 49 below threshold 85
"Carter Community Charter School, Inc.",Durham,0.1048,0K:08,durham,carter community charter inc,best fuzzy score 49 below threshold 85
Healthy Start Academy,Durham,0.0704,0K:08,durham,healthy start academy,best fuzzy score 49 below threshold 85
Maureen Joy Charter School,Durham,0.0658,0K:08,durham,maureen joy charter,best fuzzy score 46 below threshold 85
Durham Public Schools,Durham,0.1199,,durham,durham public schools,best fuzzy score 46 below threshold 85
Martin Millennium Academy,Edgecombe,0.0627,0K:08,edgecombe,martin millennium academy,best fuzzy score 62 below threshold 85
Edgecombe County Public Schools,Edgecombe,0.1386,,edgecombe,edgecombe county public schools,best fuzzy score 55 below threshold 85
North East Carolina Preparatory,Edgecombe,0.1479,PK:12,edgecombe,north east carolina preparatory,best fuzzy score 43 below threshold 85
Ashley Academy,Forsyth,0.1654,PK:05,forsyth,ashley academy,best fuzzy score 67 below threshold 85
Thomas Jefferson Middle,Forsyth,0.056,06:08,forsyth,thomas jefferson middle,best fuzzy score 82 below threshold 85
Hanes Magnet,Forsyth,0.1089,06:08,forsyth,hanes magnet,best fuzzy score 67 below threshold 85
Robert B Glenn High,Forsyth,0.2496,09:12,forsyth,robert b glenn high,best fuzzy score 85 below threshold 85
Kingswood School at the Children's Home,Forsyth,0.8064,PK:12,forsyth,kingswood at the children s home,best fuzzy score 59 below threshold 85
Cook Literacy Model School,Forsyth,0.2572,PK:05,forsyth,cook literacy model,best fuzzy score 53 below threshold 85
C. Douglas Carter High School,Forsyth,0.2802,09:12,forsyth,c douglas carter high,best fuzzy score 69 below threshold 85
