trip_id,stop_id,stop_sequence,arrival_time,departure_time,timepoint,shape_dist_traveled
Service_period_1-Weekday-5de92f4d-A-LO-1600-136767b,227,9,16:07:00,16:07:00,0,4744.17
Service_period_1-Weekday-5de92f4d-A-LO-1400-2bd0399,227,9,14:07:00,14:07:00,0,4744.17
Service_period_1-Weekday-5de92f4d-A-LO-1000-d1e28ca,227,9,10:07:00,10:07:00,0,4744.17
Service_period_1-Weekday-5de92f4d-A-LO-1500-54949ca,227,9,15:07:00,15:07:00,0,4744.17
Service_period_1-Weekday-5de92f4d-A-LO-0900-7bbc244,227,9,09:07:00,09:07:00,0,4744.17
Service_period_1-Weekday-5de92f4d-A-LO-1700-9a564c6,227,9,17:07:00,17:07:00,0,4744.17
Service_period_1-Weekday-5de92f4d-A-LO-1100-a958aad,227,9,11:07:00,11:07:00,0,4744.17
Service_period_1-Weekday-5de92f4d-A-LO-1300-ab00adc,227,9,13:07:00,13:07:00,0,4744.17
Service_period_1-Weekday-5de92f4d-A-LO-1200-abde136,227,9,12:07:00,12:07:00,0,4744.17
Service_period_1-Weekday-5de92f4d-A-LO-1600-136767b,228,10,16:08:00,16:08:00,0,5115.27
Service_period_1-Weekday-5de92f4d-A-LO-1400-2bd0399,228,10,14:08:00,14:08:00,0,5115.27
Service_period_1-Weekday-5de92f4d-A-LO-1000-d1e28ca,228,10,10:08:00,10:08:00,0,5115.27
Service_period_1-Weekday-5de92f4d-A-LO-1500-54949ca,228,10,15:08:00,15:08:00,0,5115.27
Service_period_1-Weekday-5de92f4d-A-LO-0900-7bbc244,228,10,09:08:00,09:08:00,0,5115.27
Service_period_1-Weekday-5de92f4d-A-LO-1700-9a564c6,228,10,17:08:00,17:08:00,0,5115.27
Service_period_1-Weekday-5de92f4d-A-LO-1100-a958aad,228,10,11:08:00,11:08:00,0,5115.27
Service_period_1-Weekday-5de92f4d-A-LO-1300-ab00adc,228,10,13:08:00,13:08:00,0,5115.27
Service_period_1-Weekday-5de92f4d-A-LO-1200-abde136,228,10,12:08:00,12:08:00,0,5115.27
Service_period_1-Weekday-5de92f4d-A-LO-1600-136767b,229,11,16:09:00,16:09:00,0,5448.2
