stop_id,stop_name,stop_lat,stop_lon,stop_code,stop_desc,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
"91","Meadowview Dr / Greenway Rd","36.197723388671875","-81.6633071899414","99",,,,"0","",,
"90","Meadowview Dr / Madison Ave","36.19483184814453","-81.65555572509766","149",,,,"0","",,
"88","Meadowview Dr / US 321","36.1946907043457","-81.65277099609375","100",,,,"0","",,
"87","Long St","36.22557067871094","-81.71893310546875","96",,,,"0","",,
"86","Builder's Plaza","36.22138214111328","-81.71803283691406","42",,,,"0","",,
"85","Westhaven","36.213958740234375","-81.71068572998047","140",,,,"0","",,
"82","ASU University Hall","36.205265045166016","-81.66351318359375","148",,,,"0","",,
"81","Pride Dr","36.19963836669922","-81.6595687866211","120",,,,"0","",,
"80","Bamboo Rd / Kangaroo Express","36.22045135498047","-81.6390380859375","30",,,,"0","",,
"79","Old 421 / US 421","36.22044372558594","-81.64669036865234","111",,,,"0","",,
"78","Blue Ridge Tourist Court","36.219730377197266","-81.64924621582031","115",,,,"0","",,
"77","Watauga High School / Turtle Creek","36.21931838989258","-81.65253448486328","135",,,,"0","",,
"76","Old 421 / Delmar St","36.21927261352539","-81.65704345703125","110",,,,"0","",,
"75","Forest Hill Dr","36.217323303222656","-81.66404724121094","58",,,,"0","",,
"74","Wood Circle","36.21638870239258","-81.66727447509766","144",,,,"0","",,
"73","King St / Hillside Dr","36.216163635253906","-81.67047119140625","91",,,,"0","",,
"72","Dan'l Boone Inn","36.2163200378418","-81.67489624023438","52",,,,"0","",,
"71","Jimmy Smith Park","36.21726608276367","-81.68464660644531","86",,,,"0","",,
"70","ASU NC 105 Lot 3","36.200313568115234","-81.67728424072266","19",,,,"0","",,
"69","ASU NC 105 Lot 2","36.20068359375","-81.67598724365234","18",,,,"0","",,
"68","ASU NC 105 Lot 1","36.201053619384766","-81.67403411865234","150",,,,"0","",,
"67","Highland Crossing","36.201629638671875","-81.67974853515625","73",,,,"0","",,
"65","Snaggy Mountain Blvd","36.204715728759766","-81.69339752197266","122",,,,"0","",,
"64","Highland Commons","36.20596694946289","-81.69763946533203","72",,,,"0","",,
"63","Poplar Grove / NC 105","36.20680618286133","-81.70252990722656","117",,,,"0","",,
"61","Cottages of Boone 2","36.20285415649414","-81.70240020751953","49",,,,"0","",,
"60","Cottages of Boone 1","36.20201873779297","-81.69929504394531","51",,,,"0","",,
"58","Casa Rustica","36.20296859741211","-81.6761474609375","43",,,,"0","",,
"57","ASU Schaefer Center","36.21565246582031","-81.68328857421875","22",,,,"0","",,
"56","Earth Fare","36.21662902832031","-81.67589569091797","54",,,,"0","",,
"55","Kingswood","36.21635818481445","-81.67219543457031","95",,,,"0","",,
"54","King St / Farthing St","36.21706771850586","-81.66600799560547","90",,,,"0","",,
"53","New Market","36.21888732910156","-81.66014862060547","108",,,,"0","",,
"52","Meadowhill Estates","36.22105026245117","-81.65791320800781","98",,,,"0","",,
"51","East Village","36.22248458862305","-81.65489959716797","55",,,,"0","",,
"50","Yosef Dr / King St","36.22169876098633","-81.65005493164062","145",,,,"0","",,
"49","Mountaineer Village 2","36.22434997558594","-81.64995574951172","103",,,,"0","",,
"48","Mountaineer Village 1","36.22447967529297","-81.64779663085938","102",,,,"0","",,
"47","Brookshire Park","36.2235221862793","-81.64281463623047","39",,,,"0","",,
"46","Industrial Park","36.222206115722656","-81.6442642211914","84",,,,"0","",,
"45","Brookhollow Rd / Bamboo Rd","36.214759826660156","-81.63665008544922","38",,,,"0","",,
"44","Hospitality House","36.214744567871094","-81.64073181152344","80",,,,"0","",,
"43","King St / Depot St","36.21870422363281","-81.6841812133789","89",,,,"0","",,
"42","Water St / King St","36.21964645385742","-81.68609619140625","139",,,,"0","",,
"41","ASU Peacock Traffic Light","36.21519470214844","-81.68280029296875","21",,,,"0","",,
"40","ASU Trivette Hall","36.21300506591797","-81.68376922607422","27",,,,"0","",,
"39","ASU Dogwood Hall","36.21434783935547","-81.67533874511719","13",,,,"0","",,
