route_id,service_id,trip_id,shape_id,trip_headsign,trip_short_name,direction_id,block_id,wheelchair_accessible,bikes_allowed,block_service_id,block_name
"14","111","51701753802468724","Break - Gray","Inbound","13:35:00-105","0","95",,,"1402","Break - Gray"
"14","111","51711753802468724","Break - Gray","Inbound","13:05:00-105","0","95",,,"1402","Break - Gray"
"14","21","1949","Gray","Inbound","08:38:00-15","0","26",,,"1400","Gray"
"14","21","1950","Gray","Inbound","08:08:00-15","0","26",,,"1400","Gray"
"14","21","1951","Gray","Inbound","07:38:00-15","0","26",,,"1400","Gray"
"14","21","1952","Gray","Inbound","07:08:00-15","0","26",,,"1400","Gray"
"14","111","51641753802468724","Break - Gray","Inbound","17:35:00-105","0","95",,,"1402","Break - Gray"
"14","111","51651753802468724","Break - Gray","Inbound","17:05:00-105","0","95",,,"1402","Break - Gray"
"14","21","1943","Gray","Inbound","11:38:00-15","0","26",,,"1400","Gray"
"14","21","1944","Gray","Inbound","11:08:00-15","0","26",,,"1400","Gray"
"14","21","1945","Gray","Inbound","10:38:00-15","0","26",,,"1400","Gray"
"14","21","1946","Gray","Inbound","10:08:00-15","0","26",,,"1400","Gray"
"14","21","1947","Gray","Inbound","09:38:00-15","0","26",,,"1400","Gray"
"14","21","1948","Gray","Inbound","09:08:00-15","0","26",,,"1400","Gray"
"14","21","1937","Gray","Inbound","14:38:00-15","0","26",,,"1400","Gray"
"14","21","1938","Gray","Inbound","14:08:00-15","0","26",,,"1400","Gray"
"14","21","1939","Gray","Inbound","13:38:00-15","0","26",,,"1400","Gray"
"14","21","1940","Gray","Inbound","13:08:00-15","0","26",,,"1400","Gray"
"14","21","1941","Gray","Inbound","12:38:00-15","0","26",,,"1400","Gray"
"14","21","1942","Gray","Inbound","12:08:00-15","0","26",,,"1400","Gray"
"10","57","3155","POP 105 After 6:15 - Last Trip","Inbound","21:42:00-29","0","60",,,"1106","POP 105 After 6"
"10","110","49291753802468692","POP 105 FULL","Inbound","19:12:00-98","0","82",,,"1108","1 POP 105 Full"
"10","110","49301753802468692","POP 105 FULL","Inbound","17:42:00-98","0","82",,,"1108","1 POP 105 Full"
"10","110","49311753802468692","POP 105 FULL","Inbound","16:12:00-98","0","82",,,"1108","1 POP 105 Full"
"10","110","49321753802468692","POP 105 FULL","Inbound","14:42:00-98","0","82",,,"1108","1 POP 105 Full"
"10","110","49331753802468692","POP 105 FULL","Inbound","13:12:00-98","0","82",,,"1108","1 POP 105 Full"
"10","36","3152","POP 105 After 6:15","Inbound","11:42:00-21","0","61",,,"1105","Sun - POP 105"
"10","57","3153","POP 105 After 6:15","Inbound","07:02:00-21","0","58",,,"1103","Break - POP 105"
"10","57","3154","POP 105 After 6:15","Inbound","07:32:00-21","0","58",,,"1103","Break - POP 105"
"10","36","3146","POP 105 After 6:15","Inbound","14:42:00-21","0","61",,,"1105","Sun - POP 105"
"10","36","3147","POP 105 After 6:15","Inbound","14:12:00-21","0","61",,,"1105","Sun - POP 105"
