stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,wheelchair_boarding
11293,11293,NW Maynard Rd at Chapel Hill Rd,,35.798444,-78.796758,0,0
11295,11295,James Jackson Ave at NW Maynard Rd,,35.796057,-78.801438,0,0
11297,11297,260 James Jackson Ave,,35.795718,-78.805666,0,0
11299,11299,Cary Public Works (James Jackson Ave) (WB),,35.796787,-78.80853,0,0
11301,11301,James Jackson Ave at Towerview Ct (WB),,35.798859,-78.810872,0,0
11303,11303,James Jackson Ave at NW Cary Pkwy,,35.801011,-78.816879,0,0
11305,11305,NW Cary Pkwy at Village Market Pl (NB),,35.804451,-78.813411,0,0
11307,11307,Chapel Hill Rd at NW Cary Pkwy,,35.807692,-78.813073,0,0
11309,11309,Chapel Hill Rd at Morrisville Pkwy (NB),,35.809984,-78.816208,0,0
11311,11311,Chapel Hill Rd at Weston Pkwy,,35.81307,-78.818871,0,0
11313,11313,Weston Pkwy at Wildfell Trail (EB),,35.815293,-78.814488,0,0
11315,11315,Weston Pkwy at Sheldon Dr (EB),,35.816556,-78.811613,0,0
11317,11317,Weston Pkwy at Cascade Pointe Ln (EB),,35.819098,-78.81005,0,0
11319,11319,Weston Pkwy at Stamford Dr (EB),,35.8211958897827,-78.8081804697621,0,0
11320,11320,Weston Pkwy at Evans Rd (EB),,35.82683,-78.804779,0,0
11321,11321,Weston Pkwy at Centregreen Way,,35.827482,-78.799174,0,0
11323,11323,Weston Pkwy at Norwell Blvd (EB),,35.828789,-78.790404,0,0
11325,11325,Weston Pkwy at Black Creek Greenway,,35.830504,-78.784717,0,0
11137,11137,Weston Pkwy at Winstead Dr (EB),,35.831099,-78.782832,0,0
11218,11218,Weston Pky at Southhill Dr,Weston Parkway at Southill Dr,35.830779,-78.776721,0,0
11219,11219,Harrison Oaks Blvd at Weston Pky,,35.829629,-78.772336,0,0
11142,11142,Harrison Oaks Blvd at N Harrison Ave,,35.830585,-78.767551,0,0
11287,11287,N Harrison Ave at Adams St,,35.790614,-78.783145,0,0
1364,1364,N Harrison Ave at W Johnson St (NB),,35.793838,-78.783072,0,0
1400,1400,N Harrison Ave at Kingswood Dr,,35.796678,-78.782972,0,0
11095,11095,N Harrison Ave at St Charles Pl,,35.801782,-78.782801,0,0
1714,1714,N Harrison Ave at Harrison Pointe Dr,N Harrison Ave at Harrison Pointe Dr (outbound),35.806475,-78.782774,0,0
1403,1403,N Harrison Ave at E Dynasty Dr (NB),,35.809588,-78.781199,0,0
1360,1360,N Harrison Ave at Melody Ln,Harrison Ave at Melody Ln,35.813321,-78.777095,0,0
1580,1580,N Harrison Ave at Reedy Creek Rd,N Harrison Ave at Reedy Creek Rd (NB),35.816694,-78.773337,0,0
1774,1774,N Harrison Ave at Cary Pkwy (Cary Academy) (NB),,35.819648,-78.771214,0,0
101,101,Centennial Biomedical Campus (SB),,35.797477,-78.705152,0,0
8186,8186,Trinity Rd at Thornberry St,,35.798493,-78.710049,0,0
8196,8196,Trinity Rd at Youth Center Dr (WB),,35.798802,-78.716364,0,0
8207,8207,Trinity Rd at Peter Karmanos Jr Dr,,35.799586,-78.725632,0,0
11653,11653,Trinity Rd at Nowell Rd (WB),,35.801415,-78.731249,0,0
11654,11654,Corporate Center Dr at Trinity Rd (SB),,35.803103,-78.734821,0,0
11655,11655,Corporate Center Dr at Play Golf Wy (SB),,35.799879,-78.737714,0,0
11656,11656,Corporate Center Dr at Conference Dr (SB),,35.797711,-78.738727,0,0
11657,11657,Corporate Center Dr at Ralph A Walker Ln,,35.795277,-78.739499,0,0
11658,11658,Corporate Center Dr at Chapel Hill Rd (SB),,35.791516,-78.739925,0,0
11659,11659,Chapel Hill Rd at Trinity Rd (WB),,35.79511,-78.751398,0,0
11660,11660,Chapel Hill Rd at Carriage Woods Cir,,35.796554,-78.756767,0,0
11661,11661,Chapel Hill Rd at Crestview Center,,35.79613,-78.760321,0,0
11112,11112,NE Maynard Rd at Reedy Creek Rd (WB),,35.801735,-78.767904,0,0
11113,11113,NE Maynard Rd at Gregory Dr (WB),,35.803114,-78.774328,0,0
11114,11114,NE Maynard Rd at Grande Heights Dr (WB),,35.803114,-78.779944,0,0
1362,1362,N Harrison Ave at Northwoods Market,,35.801496,-78.783133,0,0
1363,1363,N Harrison Ave at Queen Elizabeth Dr,,35.79566,-78.783209,0,0
1399,1399,N Harrison Ave at W Johnson St (SB),,35.793708,-78.783234,0,0
11502,11502,S Walker St at Downtown Park,,35.784583,-78.778677,0,0
11504,11504,Walnut St at Walker St (WB),,35.782565,-78.778832,0,0
11228,11228,S Academy St at Downtown Cary Park,,35.783635,-78.781178,0,0
1365,1365,S Academy St at Waldo St,,35.786402,-78.78117,0,0
11125,11125,W Chatham St at N Dixon Ave (WB),,35.786801,-78.788407,0,0
11003,11003,E Chatham St at S Walker St,,35.787444,-78.778285,0,0
11030,11030,E Chatham St at Hunter St,,35.787624,-78.775191,0,0
11032,11032,E Chatham St at E Circle Dr,,35.789255,-78.772862,0,0
11501,11501,Town Hall Parking Deck,,35.790163,-78.780054,0,0
11503,11503,N Walker St at Waldo St,,35.786713,-78.778689,0,0
11241,11241,Crescentcommons Dr,Crescent Commons Dr ,35.735432,-78.782017,0,0
1345,1345,Tryon Rd at Kildaire Farm Rd,,35.738049,-78.782978,0,0
11128,11128,Kildaire Farm Rd at WakeMed Cary (NB),,35.741237,-78.780016,0,0
11175,11175,Kildaire Farm Rd at Laver Dr,,35.747502,-78.78235,0,0
11075,11075,Kildaire Farm Rd at McEnroe Ct,,35.750801,-78.782803,0,0
11077,11077,Kildaire Farm Rd at Troon Village Ln,,35.754888,-78.782664,0,0
11078,11078,Kildaire Farm Rd at SE Cary Pkwy (NB),,35.757571,-78.782865,0,0
11081,11081,Kildaire Farm Rd at High Meadow Dr (NB),,35.76228,-78.783306,0,0
11099,11099,Kildaire Farm Rd near Farmington Woods Dr,Kildaire Farm Rd at Farmington Woods Dr,35.7640728809877,-78.7833713760001,0,0
11181,11181,Kildaire Farm Rd at  Kilmayne Dr (NB),,35.769125,-78.781771,0,0
11097,11097,Kildaire Farm Rd at SE Maynard Rd,,35.771626,-78.7816,0,0
1397,1397,Kildaire Farm Rd at E Cornwall Rd (NB),Kildaire Farm Rd at Cornwall Rd (NB),35.77493,-78.78155,0,0
11195,11195,Kildaire Farm Rd at Byrum St,Kildaire Farm Road at Byrum Street,35.780944,-78.78039,0,0
1165,1165,Laura Duncan Rd at Vineyard Station,,35.735576,-78.843081,0,0
16005,16005,Apex Peakway at Laura Duncan Rd,,35.738116,-78.842433,0,0
16007,16007,Apex Peakway at Ambergate Station,,35.741476,-78.846851,0,0
11751,11751,N Salem St at Apex Peakway (NB),,35.741478,-78.849227,0,0
11752,11752,N Salem St at Key Ring Dr,,35.7468,-78.851563,0,0
11753,11753,SW Cary Pkwy at Laura Duncan Rd,,35.763771,-78.823277,0,0
11754,11754,Old Apex Rd at Chatham St (NB),,35.771728,-78.807201,0,0
11755,11755,Old Apex Rd at Swift Commons Ln,,35.773735,-78.806548,0,0
11756,11756,Old Apex Rd at Berentwood Dr,,35.775223,-78.806116,0,0
11757,11757,Old Apex Rd at SW Maynard Rd (EB),,35.777219,-78.804107,0,0
11229,11229,E Chatham St at Reedy Creek Rd (EB),,35.791127,-78.768611,0,0
11002,11002,E Chatham St at Chatham Square (EB),,35.791744,-78.765733,0,0
11047,11047,SE Maynard Rd at Chatham St,,35.790265,-78.76389,0,0
11045,11045,SE Maynard Rd at Freeman Center,,35.788295,-78.764051,0,0
11043,11043,SE Maynard Rd at Sloan Dr,,35.7842028608443,-78.7643142798134,0,0
11042,11042,SE Maynard Rd at East Cary Middle,SE Maynard Rd at East Cary Middle School,35.781009,-78.764325,0,0
11040,11040,SE Maynard Rd at Cary Village Square,,35.7767,-78.764309,0,0
1375,1375,Walnut St at Cary Commons,,35.770067,-78.761534,0,0
1376,1376,Walnut St at Sturdivant Dr,,35.766941,-78.75754,0,0
1704,1704,Walnut St at Lawrence Rd,,35.764956,-78.752464,0,0
11182,11182,Walnut St at Ledsome Ln,Walnut St at Ledsome Lane,35.763587,-78.748005,0,0
11034,11034,Dillard Dr at Meeting St (WB),,35.756205,-78.743975,0,0
11234,11234,Crossroads Plaza (EB),,35.760163,-78.735827,0,0
11248,11248,Crossroads Blvd at Caitboo Ave (SB),,35.758765,-78.734096,0,0
11240,11240,Crossroads Blvd at Jones Franklin Rd (SB),,35.755217,-78.731373,0,0
